mode,dataset,accuracy,f1_macro
classification_electricity_laya_ci,EthanolConcentration,0.273764,0.227546
classification_electricity_laya_ci,FaceDetection,0.536039,0.527081
classification_electricity_laya_ci,Handwriting,0.047059,0.008579
classification_electricity_laya_ci,Heartbeat,0.731707,0.470384
classification_electricity_laya_ci,JapaneseVowels,0.391892,0.355412
classification_electricity_laya_ci,PEMS-SF,0.606936,0.576589
classification_electricity_laya_ci,SelfRegulationSCP1,0.774744,0.767124
classification_electricity_laya_ci,SelfRegulationSCP2,0.555556,0.555501
classification_electricity_laya_ci,SpokenArabicDigits,0.283765,0.245549
classification_electricity_laya_ci,UWaveGestureLibrary,0.337500,0.256327
classification_electricity_laya_ci,ECG200,0.740000,0.701287
classification_electricity_laya_ci,ECG5000,0.911778,0.389401
classification_electricity_laya_ci,FordA,0.765152,0.764866
classification_electricity_laya_ci,FordB,0.613580,0.594203
classification_electricity_laya_description_suppression_stats,EthanolConcentration,0.296578,0.259897
classification_electricity_laya_description_suppression_stats,FaceDetection,0.523553,0.501761
classification_electricity_laya_description_suppression_stats,Handwriting,0.115294,0.078787
classification_electricity_laya_description_suppression_stats,Heartbeat,0.751220,0.634044
classification_electricity_laya_description_suppression_stats,JapaneseVowels,0.389189,0.408948
classification_electricity_laya_description_suppression_stats,PEMS-SF,0.387283,0.378135
classification_electricity_laya_description_suppression_stats,SelfRegulationSCP1,0.730375,0.714055
classification_electricity_laya_description_suppression_stats,SelfRegulationSCP2,0.550000,0.541149
classification_electricity_laya_description_suppression_stats,SpokenArabicDigits,0.276944,0.269697
classification_electricity_laya_description_suppression_stats,UWaveGestureLibrary,0.390625,0.394465
classification_electricity_laya_description_suppression_stats,ECG200,0.700000,0.547920
classification_electricity_laya_description_suppression_stats,ECG5000,0.881778,0.364199
classification_electricity_laya_description_suppression_stats,FordA,0.711364,0.709861
classification_electricity_laya_description_suppression_stats,FordB,0.580247,0.554141
classification_electricity_laya_description_suppression_text,EthanolConcentration,0.296578,0.259897
classification_electricity_laya_description_suppression_text,FaceDetection,0.523553,0.501761
classification_electricity_laya_description_suppression_text,Handwriting,0.115294,0.078787
classification_electricity_laya_description_suppression_text,Heartbeat,0.751220,0.634044
classification_electricity_laya_description_suppression_text,JapaneseVowels,0.389189,0.408948
classification_electricity_laya_description_suppression_text,PEMS-SF,0.387283,0.378135
classification_electricity_laya_description_suppression_text,SelfRegulationSCP1,0.730375,0.714055
