mode,dataset,accuracy,f1_macro
classification_electricity_laya_ci,EthanolConcentration,0.2738,0.2275
classification_electricity_laya_ci,FaceDetection,0.5360,0.5271
classification_electricity_laya_ci,Handwriting,0.0471,0.0086
classification_electricity_laya_ci,Heartbeat,0.7317,0.4704
classification_electricity_laya_ci,JapaneseVowels,0.3919,0.3554
classification_electricity_laya_ci,PEMS-SF,0.6069,0.5766
classification_electricity_laya_ci,SelfRegulationSCP1,0.7747,0.7671
classification_electricity_laya_ci,SelfRegulationSCP2,0.5556,0.5555
classification_electricity_laya_ci,SpokenArabicDigits,0.2838,0.2455
classification_electricity_laya_ci,UWaveGestureLibrary,0.3375,0.2563
classification_electricity_laya_ci,ECG200,0.7400,0.7013
classification_electricity_laya_ci,ECG5000,0.9118,0.3894
classification_electricity_laya_ci,FordA,0.7652,0.7649
classification_electricity_laya_ci,FordB,0.6136,0.5942
classification_electricity_laya_description_suppression_stats,EthanolConcentration,0.2966,0.2599
classification_electricity_laya_description_suppression_stats,FaceDetection,0.5236,0.5018
classification_electricity_laya_description_suppression_stats,Handwriting,0.1153,0.0788
classification_electricity_laya_description_suppression_stats,Heartbeat,0.7512,0.6340
classification_electricity_laya_description_suppression_stats,JapaneseVowels,0.3892,0.4089
classification_electricity_laya_description_suppression_stats,PEMS-SF,0.3873,0.3781
classification_electricity_laya_description_suppression_stats,SelfRegulationSCP1,0.7304,0.7141
classification_electricity_laya_description_suppression_stats,SelfRegulationSCP2,0.5500,0.5411
classification_electricity_laya_description_suppression_stats,SpokenArabicDigits,0.2769,0.2697
classification_electricity_laya_description_suppression_stats,UWaveGestureLibrary,0.3906,0.3945
classification_electricity_laya_description_suppression_stats,ECG200,0.7000,0.5479
classification_electricity_laya_description_suppression_stats,ECG5000,0.8818,0.3642
classification_electricity_laya_description_suppression_stats,FordA,0.7114,0.7099
classification_electricity_laya_description_suppression_stats,FordB,0.5802,0.5541
classification_electricity_laya_description_suppression_text,EthanolConcentration,0.2966,0.2599
classification_electricity_laya_description_suppression_text,FaceDetection,0.5236,0.5018
classification_electricity_laya_description_suppression_text,Handwriting,0.1153,0.0788
classification_electricity_laya_description_suppression_text,Heartbeat,0.7512,0.6340
classification_electricity_laya_description_suppression_text,JapaneseVowels,0.3892,0.4089
classification_electricity_laya_description_suppression_text,PEMS-SF,0.3873,0.3781
classification_electricity_laya_description_suppression_text,SelfRegulationSCP1,0.7304,0.7141
classification_electricity_laya_description_suppression_text,SelfRegulationSCP2,0.5500,0.5411
