mode,avg_accuracy,avg_f1_macro,count
classification_electricity_laya_ci,0.540677,0.459989,14
classification_electricity_laya_description_suppression_stats,0.520318,0.454076,14
classification_electricity_laya_description_suppression_text,0.520318,0.454076,14
classification_electricity_laya_description_suppression_text_stats_avg,0.510178,0.425158,14
classification_electricity_laya_description_suppression_text_stats_joint,0.520318,0.454076,14
classification_electricity_laya_metadata_query_gate_stats,0.535021,0.473602,14
classification_electricity_laya_metadata_query_gate_text,0.532383,0.473070,14
classification_electricity_laya_metadata_query_gate_text_stats_avg,0.528525,0.469125,14
classification_electricity_laya_metadata_query_gate_text_stats_joint,0.535482,0.477449,14
classification_electricity_laya_mixer_concat_stats,0.466019,0.352744,14
classification_electricity_laya_mixer_concat_text,0.463353,0.346622,14
classification_electricity_laya_mixer_concat_text_stats_avg,0.467304,0.360224,14
classification_electricity_laya_mixer_concat_text_stats_joint,0.491836,0.381572,14
classification_electricity_laya_mixer_stats,0.495098,0.404986,14
classification_electricity_laya_mixer_text,0.454350,0.333712,14
classification_electricity_laya_mixer_text_stats_avg,0.480182,0.373875,14
classification_electricity_laya_mixer_text_stats_joint,0.468640,0.351071,14
classification_electricity_laya_relation_text,0.311787,0.284903,1
