mode,dataset,pred_len,test_mse,test_mae
forecasting_electricity_laya_charm_like_text,ETTm1,96,0.543490,0.555300
forecasting_electricity_laya_charm_like_text,ETTm1,192,0.624869,0.595729
forecasting_electricity_laya_charm_like_text,ETTm1,336,0.715516,0.643146
forecasting_electricity_laya_charm_like_text,ETTm1,720,0.852870,0.717453
forecasting_electricity_laya_charm_like_text,ETTm2,96,0.645972,0.562018
forecasting_electricity_laya_charm_like_text,ETTm2,192,0.947256,0.685696
forecasting_electricity_laya_charm_like_text,ETTm2,336,1.051656,0.712298
forecasting_electricity_laya_charm_like_text,ETTm2,720,1.310920,0.832411
forecasting_electricity_laya_charm_like_text,weather,96,0.354713,0.413229
forecasting_electricity_laya_charm_like_text,weather,192,0.426352,0.456513
forecasting_electricity_laya_charm_like_text,weather,336,0.493629,0.494384
forecasting_electricity_laya_charm_like_text,weather,720,0.513528,0.509620
forecasting_electricity_laya_description_relation_text,ETTm1,96,0.685367,0.638606
forecasting_electricity_laya_description_relation_text,ETTm1,192,0.725375,0.653166
forecasting_electricity_laya_description_relation_text,ETTm1,336,0.815195,0.694826
forecasting_electricity_laya_description_relation_text,ETTm1,720,0.897096,0.734344
forecasting_electricity_laya_description_relation_text,ETTm2,96,1.097424,0.759560
forecasting_electricity_laya_description_relation_text,ETTm2,192,1.224601,0.816012
forecasting_electricity_laya_description_relation_text,ETTm2,336,1.300825,0.824337
forecasting_electricity_laya_description_relation_text,ETTm2,720,1.357942,0.874536
forecasting_electricity_laya_description_relation_text,weather,96,0.444803,0.470137
forecasting_electricity_laya_description_relation_text,weather,192,0.485416,0.506138
forecasting_electricity_laya_description_relation_text,weather,336,0.514684,0.509607
forecasting_electricity_laya_description_relation_text,weather,720,0.542334,0.524113

forecasting_electricity_laya_description_suppression_stats,ETTm1,96,0.504201,0.508898
forecasting_electricity_laya_description_suppression_stats,ETTm1,192,0.542440,0.527734
forecasting_electricity_laya_description_suppression_stats,ETTm1,336,0.590290,0.552725
forecasting_electricity_laya_description_suppression_stats,ETTm1,720,0.635979,0.584886
forecasting_electricity_laya_description_suppression_stats,ETTm2,96,0.725429,0.657320
forecasting_electricity_laya_description_suppression_stats,ETTm2,192,0.683873,0.612316
forecasting_electricity_laya_description_suppression_stats,ETTm2,336,0.702180,0.619865
forecasting_electricity_laya_description_suppression_stats,ETTm2,720,0.779720,0.665189
forecasting_electricity_laya_description_suppression_stats,weather,96,0.556263,0.591390
forecasting_electricity_laya_description_suppression_stats,weather,192,0.587970,0.608694
forecasting_electricity_laya_description_suppression_stats,weather,336,0.603565,0.613740
forecasting_electricity_laya_description_suppression_stats,weather,720,0.649357,0.636118
forecasting_electricity_laya_description_suppression_text,ETTm1,96,0.504201,0.508898
forecasting_electricity_laya_description_suppression_text,ETTm1,192,0.542440,0.527734
forecasting_electricity_laya_description_suppression_text,ETTm1,336,0.590290,0.552725
forecasting_electricity_laya_description_suppression_text,ETTm1,720,0.635979,0.584886
forecasting_electricity_laya_description_suppression_text,ETTm2,96,0.725429,0.657320
forecasting_electricity_laya_description_suppression_text,ETTm2,192,0.683873,0.612316
forecasting_electricity_laya_description_suppression_text,ETTm2,336,0.702180,0.619865
forecasting_electricity_laya_description_suppression_text,ETTm2,720,0.779720,0.665189
forecasting_electricity_laya_description_suppression_text,weather,96,0.556263,0.591390
forecasting_electricity_laya_description_suppression_text,weather,192,0.587970,0.608694
forecasting_electricity_laya_description_suppression_text,weather,336,0.603565,0.613740
forecasting_electricity_laya_description_suppression_text,weather,720,0.649357,0.636118
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm1,96,0.558122,0.543677
