mode,dataset,pred_len,test_mse,test_mae
forecasting_electricity_laya_ci,ETTm1,96,0.325,0.386
forecasting_electricity_laya_ci,ETTm1,192,0.377,0.417
forecasting_electricity_laya_ci,ETTm1,336,0.425,0.447
forecasting_electricity_laya_ci,ETTm1,720,0.477,0.486
forecasting_electricity_laya_ci,ETTm2,96,0.157,0.265
forecasting_electricity_laya_ci,ETTm2,192,0.196,0.295
forecasting_electricity_laya_ci,ETTm2,336,0.230,0.323
forecasting_electricity_laya_ci,ETTm2,720,0.289,0.373
forecasting_electricity_laya_ci,weather,96,0.202,0.264
forecasting_electricity_laya_ci,weather,192,0.256,0.314
forecasting_electricity_laya_ci,weather,336,0.312,0.365
forecasting_electricity_laya_ci,weather,720,0.386,0.412
forecasting_electricity_laya_description_relation_text,ETTm1,96,0.685,0.639
forecasting_electricity_laya_description_relation_text,ETTm1,192,0.725,0.653
forecasting_electricity_laya_description_relation_text,ETTm1,336,0.815,0.695
forecasting_electricity_laya_description_relation_text,ETTm1,720,0.897,0.734
forecasting_electricity_laya_description_relation_text,ETTm2,96,1.097,0.760
forecasting_electricity_laya_description_relation_text,ETTm2,192,1.225,0.816
forecasting_electricity_laya_description_relation_text,ETTm2,336,1.301,0.824
forecasting_electricity_laya_description_relation_text,ETTm2,720,1.358,0.875
forecasting_electricity_laya_description_relation_text,weather,96,0.445,0.470
forecasting_electricity_laya_description_relation_text,weather,192,0.485,0.506
forecasting_electricity_laya_description_relation_text,weather,336,0.515,0.510
forecasting_electricity_laya_description_relation_text,weather,720,0.542,0.524
forecasting_electricity_laya_description_suppression_stats,ETTm1,96,0.504,0.509
forecasting_electricity_laya_description_suppression_stats,ETTm1,192,0.542,0.528
forecasting_electricity_laya_description_suppression_stats,ETTm1,336,0.590,0.553
forecasting_electricity_laya_description_suppression_stats,ETTm1,720,0.636,0.585
forecasting_electricity_laya_description_suppression_stats,ETTm2,96,0.725,0.657
forecasting_electricity_laya_description_suppression_stats,ETTm2,192,0.684,0.612
forecasting_electricity_laya_description_suppression_stats,ETTm2,336,0.702,0.620
forecasting_electricity_laya_description_suppression_stats,ETTm2,720,0.780,0.665
forecasting_electricity_laya_description_suppression_stats,weather,96,0.556,0.591
forecasting_electricity_laya_description_suppression_stats,weather,192,0.588,0.609
forecasting_electricity_laya_description_suppression_stats,weather,336,0.604,0.614
forecasting_electricity_laya_description_suppression_stats,weather,720,0.649,0.636
forecasting_electricity_laya_description_suppression_text,ETTm1,96,0.504,0.509
forecasting_electricity_laya_description_suppression_text,ETTm1,192,0.542,0.528
forecasting_electricity_laya_description_suppression_text,ETTm1,336,0.590,0.553
forecasting_electricity_laya_description_suppression_text,ETTm1,720,0.636,0.585
forecasting_electricity_laya_description_suppression_text,ETTm2,96,0.725,0.657
forecasting_electricity_laya_description_suppression_text,ETTm2,192,0.684,0.612
forecasting_electricity_laya_description_suppression_text,ETTm2,336,0.702,0.620
forecasting_electricity_laya_description_suppression_text,ETTm2,720,0.780,0.665
forecasting_electricity_laya_description_suppression_text,weather,96,0.556,0.591
forecasting_electricity_laya_description_suppression_text,weather,192,0.588,0.609
forecasting_electricity_laya_description_suppression_text,weather,336,0.604,0.614
forecasting_electricity_laya_description_suppression_text,weather,720,0.649,0.636
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm1,96,0.558,0.544
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm1,192,0.598,0.562
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm1,336,0.642,0.585
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm1,720,0.665,0.598
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm2,96,0.800,0.697
