mode,dataset,pred_len,test_mse,test_mae
forecasting_electricity_laya_charm_like_text,ETTm1,96,0.5435,0.5553
forecasting_electricity_laya_charm_like_text,ETTm1,192,0.6249,0.5957
forecasting_electricity_laya_charm_like_text,ETTm1,336,0.7155,0.6431
forecasting_electricity_laya_charm_like_text,ETTm1,720,0.8529,0.7175
forecasting_electricity_laya_charm_like_text,ETTm2,96,0.6460,0.5620
forecasting_electricity_laya_charm_like_text,ETTm2,192,0.9473,0.6857
forecasting_electricity_laya_charm_like_text,ETTm2,336,1.0517,0.7123
forecasting_electricity_laya_charm_like_text,ETTm2,720,1.3109,0.8324
forecasting_electricity_laya_charm_like_text,weather,96,0.3547,0.4132
forecasting_electricity_laya_charm_like_text,weather,192,0.4264,0.4565
forecasting_electricity_laya_charm_like_text,weather,336,0.4936,0.4944
forecasting_electricity_laya_charm_like_text,weather,720,0.5135,0.5096
forecasting_electricity_laya_description_relation_text,ETTm1,96,0.6854,0.6386
forecasting_electricity_laya_description_relation_text,ETTm1,192,0.7254,0.6532
forecasting_electricity_laya_description_relation_text,ETTm1,336,0.8152,0.6948
forecasting_electricity_laya_description_relation_text,ETTm1,720,0.8971,0.7343
forecasting_electricity_laya_description_relation_text,ETTm2,96,1.0974,0.7596
forecasting_electricity_laya_description_relation_text,ETTm2,192,1.2246,0.8160
forecasting_electricity_laya_description_relation_text,ETTm2,336,1.3008,0.8243
forecasting_electricity_laya_description_relation_text,ETTm2,720,1.3579,0.8745
forecasting_electricity_laya_description_relation_text,weather,96,0.4448,0.4701
forecasting_electricity_laya_description_relation_text,weather,192,0.4854,0.5061
forecasting_electricity_laya_description_relation_text,weather,336,0.5147,0.5096
forecasting_electricity_laya_description_relation_text,weather,720,0.5423,0.5241
forecasting_electricity_laya_description_suppression_stats,ETTm1,96,0.5042,0.5089
forecasting_electricity_laya_description_suppression_stats,ETTm1,192,0.5424,0.5277
forecasting_electricity_laya_description_suppression_stats,ETTm1,336,0.5903,0.5527
forecasting_electricity_laya_description_suppression_stats,ETTm1,720,0.6360,0.5849
forecasting_electricity_laya_description_suppression_stats,ETTm2,96,0.7254,0.6573
forecasting_electricity_laya_description_suppression_stats,ETTm2,192,0.6839,0.6123
forecasting_electricity_laya_description_suppression_stats,ETTm2,336,0.7022,0.6199
forecasting_electricity_laya_description_suppression_stats,ETTm2,720,0.7797,0.6652
forecasting_electricity_laya_description_suppression_stats,weather,96,0.5563,0.5914
forecasting_electricity_laya_description_suppression_stats,weather,192,0.5880,0.6087
forecasting_electricity_laya_description_suppression_stats,weather,336,0.6036,0.6137
forecasting_electricity_laya_description_suppression_stats,weather,720,0.6494,0.6361
forecasting_electricity_laya_description_suppression_text,ETTm1,96,0.5042,0.5089
forecasting_electricity_laya_description_suppression_text,ETTm1,192,0.5424,0.5277
forecasting_electricity_laya_description_suppression_text,ETTm1,336,0.5903,0.5527
forecasting_electricity_laya_description_suppression_text,ETTm1,720,0.6360,0.5849
forecasting_electricity_laya_description_suppression_text,ETTm2,96,0.7254,0.6573
forecasting_electricity_laya_description_suppression_text,ETTm2,192,0.6839,0.6123
forecasting_electricity_laya_description_suppression_text,ETTm2,336,0.7022,0.6199
forecasting_electricity_laya_description_suppression_text,ETTm2,720,0.7797,0.6652
forecasting_electricity_laya_description_suppression_text,weather,96,0.5563,0.5914
forecasting_electricity_laya_description_suppression_text,weather,192,0.5880,0.6087
forecasting_electricity_laya_description_suppression_text,weather,336,0.6036,0.6137
forecasting_electricity_laya_description_suppression_text,weather,720,0.6494,0.6361
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm1,96,0.5581,0.5437
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm1,192,0.5985,0.5618
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm1,336,0.6416,0.5847
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm1,720,0.6649,0.5975
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm2,96,0.8001,0.6970
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm2,192,0.8448,0.7009
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm2,336,0.8888,0.7527
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm2,720,0.9545,0.7773
forecasting_electricity_laya_description_suppression_text_stats_avg,weather,96,0.4700,0.5356
forecasting_electricity_laya_description_suppression_text_stats_avg,weather,192,0.4782,0.5386
forecasting_electricity_laya_description_suppression_text_stats_avg,weather,336,0.5340,0.5702
forecasting_electricity_laya_description_suppression_text_stats_avg,weather,720,0.5754,0.5888
