mode,group,avg_mse,avg_mae,count
forecasting_electricity_laya_charm_like_text,overall,0.706731,0.598150,12
forecasting_electricity_laya_charm_like_text,ETTm1,0.684186,0.627907,4
forecasting_electricity_laya_charm_like_text,ETTm2,0.988951,0.698106,4
forecasting_electricity_laya_charm_like_text,weather,0.447055,0.468437,4
forecasting_electricity_laya_description_relation_text,overall,0.840922,0.667115,12
forecasting_electricity_laya_description_relation_text,ETTm1,0.780758,0.680235,4
forecasting_electricity_laya_description_relation_text,ETTm2,1.245198,0.818611,4
forecasting_electricity_laya_description_relation_text,weather,0.496809,0.502499,4
forecasting_electricity_laya_description_suppression_stats,overall,0.630106,0.598240,12
forecasting_electricity_laya_description_suppression_stats,ETTm1,0.568227,0.543561,4
forecasting_electricity_laya_description_suppression_stats,ETTm2,0.722801,0.638672,4
forecasting_electricity_laya_description_suppression_stats,weather,0.599289,0.612486,4
forecasting_electricity_laya_description_suppression_text,overall,0.630106,0.598240,12
forecasting_electricity_laya_description_suppression_text,ETTm1,0.568227,0.543561,4
forecasting_electricity_laya_description_suppression_text,ETTm2,0.722801,0.638672,4
forecasting_electricity_laya_description_suppression_text,weather,0.599289,0.612486,4
forecasting_electricity_laya_description_suppression_text_stats_avg,overall,0.667404,0.620734,12
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm1,0.615779,0.571919,4
forecasting_electricity_laya_description_suppression_text_stats_avg,ETTm2,0.872049,0.731988,4
forecasting_electricity_laya_description_suppression_text_stats_avg,weather,0.514384,0.558295,4
forecasting_electricity_laya_description_suppression_text_stats_joint,overall,0.630106,0.598240,12
forecasting_electricity_laya_description_suppression_text_stats_joint,ETTm1,0.568227,0.543561,4
forecasting_electricity_laya_description_suppression_text_stats_joint,ETTm2,0.722801,0.638672,4
forecasting_electricity_laya_description_suppression_text_stats_joint,weather,0.599289,0.612486,4
forecasting_electricity_laya_metadata_query_bias_stats,overall,0.596800,0.540419,12
forecasting_electricity_laya_metadata_query_bias_stats,ETTm1,0.624431,0.602892,4
forecasting_electricity_laya_metadata_query_bias_stats,ETTm2,0.793235,0.598189,4
forecasting_electricity_laya_metadata_query_bias_stats,weather,0.372735,0.420177,4
forecasting_electricity_laya_metadata_query_bias_text,overall,0.645050,0.578358,12
forecasting_electricity_laya_metadata_query_bias_text,ETTm1,0.727680,0.644965,4
forecasting_electricity_laya_metadata_query_bias_text,ETTm2,0.714722,0.602621,4
forecasting_electricity_laya_metadata_query_bias_text,weather,0.492749,0.487488,4
forecasting_electricity_laya_metadata_query_gate_stats,overall,0.651935,0.599578,12
forecasting_electricity_laya_metadata_query_gate_stats,ETTm1,0.618798,0.567434,4
forecasting_electricity_laya_metadata_query_gate_stats,ETTm2,0.812452,0.667525,4
forecasting_electricity_laya_metadata_query_gate_stats,weather,0.524557,0.563776,4
forecasting_electricity_laya_metadata_query_gate_text,overall,0.654722,0.607289,12
forecasting_electricity_laya_metadata_query_gate_text,ETTm1,0.619250,0.565078,4
forecasting_electricity_laya_metadata_query_gate_text,ETTm2,0.784806,0.668219,4
forecasting_electricity_laya_metadata_query_gate_text,weather,0.560110,0.588570,4
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,overall,0.616939,0.591635,12
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm1,0.595921,0.562923,4
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm2,0.711537,0.633451,4
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,weather,0.543361,0.578530,4
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,overall,0.650366,0.601966,12
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm1,0.598542,0.556814,4
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm2,0.809689,0.670181,4
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,weather,0.542867,0.578904,4
forecasting_electricity_laya_mixer_concat_stats,overall,0.912450,0.711133,12
forecasting_electricity_laya_mixer_concat_stats,ETTm1,0.931922,0.698009,4
forecasting_electricity_laya_mixer_concat_stats,ETTm2,1.170473,0.815172,4
forecasting_electricity_laya_mixer_concat_stats,weather,0.634954,0.620219,4
forecasting_electricity_laya_mixer_concat_text,overall,0.541585,0.542773,12
forecasting_electricity_laya_mixer_concat_text,ETTm1,0.518822,0.526262,4
forecasting_electricity_laya_mixer_concat_text,ETTm2,0.604332,0.566535,4
forecasting_electricity_laya_mixer_concat_text,weather,0.501601,0.535523,4
forecasting_electricity_laya_mixer_concat_text_stats_avg,overall,0.608419,0.583312,12
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm1,0.604885,0.570589,4
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm2,0.720114,0.637264,4
forecasting_electricity_laya_mixer_concat_text_stats_avg,weather,0.500259,0.542083,4
forecasting_electricity_laya_mixer_concat_text_stats_joint,overall,0.650623,0.580313,12
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm1,0.639371,0.548830,4
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm2,0.686547,0.581766,4
forecasting_electricity_laya_mixer_concat_text_stats_joint,weather,0.625950,0.610342,4
forecasting_electricity_laya_mixer_stats,overall,0.730579,0.646037,12
forecasting_electricity_laya_mixer_stats,ETTm1,0.691165,0.634529,4
forecasting_electricity_laya_mixer_stats,ETTm2,0.950109,0.734492,4
forecasting_electricity_laya_mixer_stats,weather,0.550461,0.569089,4
forecasting_electricity_laya_mixer_text,overall,0.579029,0.572546,12
forecasting_electricity_laya_mixer_text,ETTm1,0.557077,0.546310,4
forecasting_electricity_laya_mixer_text,ETTm2,0.619896,0.600683,4
forecasting_electricity_laya_mixer_text,weather,0.560115,0.570645,4
forecasting_electricity_laya_mixer_text_stats_avg,overall,0.522394,0.531899,12
forecasting_electricity_laya_mixer_text_stats_avg,ETTm1,0.531011,0.516655,4
forecasting_electricity_laya_mixer_text_stats_avg,ETTm2,0.536500,0.534639,4
forecasting_electricity_laya_mixer_text_stats_avg,weather,0.499672,0.544403,4
forecasting_electricity_laya_mixer_text_stats_joint,overall,0.650391,0.606867,12
forecasting_electricity_laya_mixer_text_stats_joint,ETTm1,0.553987,0.543909,4
forecasting_electricity_laya_mixer_text_stats_joint,ETTm2,0.822199,0.703482,4
forecasting_electricity_laya_mixer_text_stats_joint,weather,0.574988,0.573208,4
forecasting_electricity_laya_relation_text,overall,0.652437,0.572447,12
forecasting_electricity_laya_relation_text,ETTm1,0.583655,0.568947,4
forecasting_electricity_laya_relation_text,ETTm2,1.011926,0.744584,4
forecasting_electricity_laya_relation_text,weather,0.361730,0.403811,4
