group_type,group_size,group_label,unit_ids,baseline_mse,mse_without_group,delta_mse,delta_mse_ratio_pct,baseline_mae,mae_without_group,delta_mae,delta_mae_ratio_pct
topk,1,top1,10,0.49314192987066496,0.5121164348742152,0.018974505003550246,3.847676268072893,0.5122395157814026,0.5218755602836609,0.0096360445022583,1.881159927218592
random,1,random1_rep1,3,0.49314192987066496,0.5113713757132823,0.01822944584261732,3.6965921448614822,0.5122395157814026,0.5250821113586426,0.01284259557723999,2.5071465948208003
random,1,random1_rep2,0,0.49314192987066496,0.5015582405116762,0.008416310641011227,1.7066710679456014,0.5122395157814026,0.5116698741912842,-0.0005696415901184082,-0.11120610038244333
random,1,random1_rep3,8,0.49314192987066496,0.5047559716650575,0.011614041794392516,2.35511139712628,0.5122395157814026,0.5126025080680847,0.0003629922866821289,0.0708637806141132
random,1,random1_rep4,7,0.49314192987066496,0.5114115972854799,0.01826966741481495,3.7047483306898052,0.5122395157814026,0.5234249234199524,0.011185407638549805,2.1836284187265163
random,1,random1_rep5,7,0.49314192987066496,0.5114115972854799,0.01826966741481495,3.7047483306898052,0.5122395157814026,0.5234249234199524,0.011185407638549805,2.1836284187265163
random,1,random1_rep6,4,0.49314192987066496,0.4939757259627137,0.0008337960920487553,0.1690783203665997,0.5122395157814026,0.5126960277557373,0.0004565119743347168,0.08912080389548326
random,1,random1_rep7,3,0.49314192987066496,0.5113713757132823,0.01822944584261732,3.6965921448614822,0.5122395157814026,0.5250821113586426,0.01284259557723999,2.5071465948208003
random,1,random1_rep8,2,0.49314192987066496,0.5100196120232412,0.016877682152576234,3.4224796413078686,0.5122395157814026,0.525454580783844,0.013215065002441406,2.579860513549469
random,1,random1_rep9,13,0.49314192987066496,0.5101728506093763,0.017030920738711375,3.453553572939545,0.5122395157814026,0.5256497859954834,0.01341027021408081,2.6179687042738076
random,1,random1_rep10,1,0.49314192987066496,0.5052426808081378,0.01210075093747287,2.4538069477577182,0.5122395157814026,0.5132527947425842,0.0010132789611816406,0.19781350910343587
random,1,random1_rep11,0,0.49314192987066496,0.5015582405116762,0.008416310641011227,1.7066710679456014,0.5122395157814026,0.5116698741912842,-0.0005696415901184082,-0.11120610038244333
random,1,random1_rep12,2,0.49314192987066496,0.5100196120232412,0.016877682152576234,3.4224796413078686,0.5122395157814026,0.525454580783844,0.013215065002441406,2.579860513549469
random,1,random1_rep13,6,0.49314192987066496,0.5060330477067835,0.012891117836118515,2.6140786364484225,0.5122395157814026,0.5136842727661133,0.0014447569847106934,0.2820471557151872
random,1,random1_rep14,7,0.49314192987066496,0.5114115972854799,0.01826966741481495,3.7047483306898052,0.5122395157814026,0.5234249234199524,0.011185407638549805,2.1836284187265163
random,1,random1_rep15,0,0.49314192987066496,0.5015582405116762,0.008416310641011227,1.7066710679456014,0.5122395157814026,0.5116698741912842,-0.0005696415901184082,-0.11120610038244333
random,1,random1_rep16,6,0.49314192987066496,0.5060330477067835,0.012891117836118515,2.6140786364484225,0.5122395157814026,0.5136842727661133,0.0014447569847106934,0.2820471557151872
random_mean,1,random1_mean,,0.49314192987066496,0.5067440508327105,0.013602120962045494,2.7582568299582406,0.5122395157814026,0.5186204649507999,0.006380949169397354,1.2456963925681233
topk,2,top2,10 7,0.49314192987066496,0.5331061243253823,0.03996419445471733,8.103994414995016,0.5122395157814026,0.5342276096343994,0.021988093852996826,4.292541511455788
random,2,random2_rep1,3 13,0.49314192987066496,0.5328793114107145,0.03973738154004958,8.058000979651313,0.5122395157814026,0.5409359335899353,0.028696417808532715,5.602148394341929
random,2,random2_rep2,9 14,0.49314192987066496,0.5263501323467039,0.03320820247603895,6.734005053017572,0.5122395157814026,0.5291928648948669,0.016953349113464355,3.3096527290758977
random,2,random2_rep3,8 12,0.49314192987066496,0.521661560285587,0.028519630414922004,5.783249950455799,0.5122395157814026,0.5198360681533813,0.00759655237197876,1.4830078777484588
random,2,random2_rep4,0 12,0.49314192987066496,0.5187331332930516,0.025591203422386632,5.189419490064122,0.5122395157814026,0.5202572345733643,0.00801771879196167,1.5652284810028634
random,2,random2_rep5,5 11,0.49314192987066496,0.5337328496141742,0.04059091974350926,8.231082632570898,0.5122395157814026,0.5415710210800171,0.029331505298614502,5.7261309201946995
random,2,random2_rep6,5 13,0.49314192987066496,0.5377891090188787,0.0446471791482137,9.053616503452302,0.5122395157814026,0.5436916947364807,0.031452178955078125,6.1401313225706495
random,2,random2_rep7,2 8,0.49314192987066496,0.5218162792315384,0.02867434936087343,5.814624071490692,0.5122395157814026,0.5260449051856995,0.013805389404296875,2.6951043367353766
random,2,random2_rep8,6 12,0.49314192987066496,0.521813452983701,0.028671523113036,5.814050961060157,0.5122395157814026,0.5197977423667908,0.007558226585388184,1.4755258726688405
random,2,random2_rep9,1 10,0.49314192987066496,0.5300341911321425,0.03689226126147749,7.48106356949877,0.5122395157814026,0.5254399180412292,0.01320040225982666,2.5769980357118545
random,2,random2_rep10,2 6,0.49314192987066496,0.5232425670700867,0.030100637199421687,6.103848684559454,0.5122395157814026,0.527207612991333,0.01496809720993042,2.9220895203871837
random,2,random2_rep11,3 5,0.49314192987066496,0.5336824835860977,0.04054055371543275,8.220869340002219,0.5122395157814026,0.5408899188041687,0.028650403022766113,5.593165333810878
random,2,random2_rep12,9 11,0.49314192987066496,0.5341538244183014,0.04101189454763643,8.316448483379322,0.5122395157814026,0.5413205027580261,0.029080986976623535,5.677224439091068
random,2,random2_rep13,8 12,0.49314192987066496,0.521661560285587,0.028519630414922004,5.783249950455799,0.5122395157814026,0.5198360681533813,0.00759655237197876,1.4830078777484588
random,2,random2_rep14,1 11,0.49314192987066496,0.5243229826107862,0.031181052740121284,6.322936836520686,0.5122395157814026,0.5270394682884216,0.014799952507019043,2.889264113964784
random,2,random2_rep15,8 14,0.49314192987066496,0.5310644600497383,0.03792253017907332,7.689982920134,0.5122395157814026,0.5218879580497742,0.009648442268371582,1.8835802336829164
random,2,random2_rep16,3 14,0.49314192987066496,0.5275063465841924,0.03436441671352741,6.968463769150613,0.5122395157814026,0.5292341113090515,0.016994595527648926,3.3177049025052847
random_mean,2,random2_mean,,0.49314192987066496,0.52752776524508,0.034385835374415086,6.972807074716475,0.5122395157814026,0.5296364389359951,0.017396923154592514,3.3962477744525716
topk,4,top4,10 7 11 3,0.49314192987066496,0.5811576221404946,0.08801569226982964,17.84794334825945,0.5122395157814026,0.5659312605857849,0.053691744804382324,10.481765492550402
random,4,random4_rep1,1 4 8 12,0.49314192987066496,0.5873529069108445,0.09421097704017956,19.104231729978434,0.5122395157814026,0.5643084049224854,0.052068889141082764,10.164949703588093
random,4,random4_rep2,3 9 11 15,0.49314192987066496,0.5702699983092434,0.07712806843857845,15.640135986572187,0.5122395157814026,0.5577076077461243,0.04546809196472168,8.876334324844457
random,4,random4_rep3,0 2 3 10,0.49314192987066496,0.5711150476343362,0.07797311776367122,15.811496253040383,0.5122395157814026,0.55548095703125,0.04324144124984741,8.441644956634043
random,4,random4_rep4,1 3 9 13,0.49314192987066496,0.5747496127462828,0.08160768287561782,16.548518374217508,0.5122395157814026,0.5613896250724792,0.04915010929107666,9.59514207257126
random,4,random4_rep5,3 4 6 7,0.49314192987066496,0.5590873529089241,0.06594542303825912,13.37250374462266,0.5122395157814026,0.550855815410614,0.038616299629211426,7.538719376287024
random,4,random4_rep6,2 5 11 13,0.49314192987066496,0.6064788226649062,0.1133368927942412,22.982611278656787,0.5122395157814026,0.5839263796806335,0.07168686389923096,13.994793781162173
random,4,random4_rep7,4 6 10 11,0.49314192987066496,0.5621979147987333,0.0690559849280683,14.003267770432629,0.5122395157814026,0.5511139035224915,0.03887438774108887,7.589103640664546
random,4,random4_rep8,2 9 10 15,0.49314192987066496,0.5728770051211738,0.07973507525050882,16.168788419881622,0.5122395157814026,0.5561095476150513,0.04387003183364868,8.564359148810798
random,4,random4_rep9,2 6 7 15,0.49314192987066496,0.574196262736794,0.08105433286612906,16.436309296876658,0.5122395157814026,0.5510483384132385,0.03880882263183594,7.5763039430166765
random,4,random4_rep10,8 10 11 14,0.49314192987066496,0.5834688612756773,0.09032693140501236,18.316619604563368,0.5122395157814026,0.552041232585907,0.039801716804504395,7.770137909760503
random,4,random4_rep11,5 7 10 12,0.49314192987066496,0.5667899335297921,0.07364800365912716,14.93444365569211,0.5122395157814026,0.5526646375656128,0.040425121784210205,7.8918397622141985
random,4,random4_rep12,0 1 3 13,0.49314192987066496,0.5688912853357698,0.07574935546510486,15.36055867019287,0.5122395157814026,0.5515984296798706,0.03935891389846802,7.683693406282301
random,4,random4_rep13,1 4 6 10,0.49314192987066496,0.5783976369449227,0.08525570707425778,17.288269747538518,0.5122395157814026,0.5556879043579102,0.04344838857650757,8.482045456846226
random,4,random4_rep14,6 9 11 14,0.49314192987066496,0.5757098422658912,0.0825679123952262,16.74323503922716,0.5122395157814026,0.5533528327941895,0.041113317012786865,8.026190043161744
