group_type,group_size,group_label,unit_ids,baseline_mse,mse_without_group,delta_mse,delta_mse_ratio_pct,baseline_mae,mae_without_group,delta_mae,delta_mae_ratio_pct
topk,1,top1,8,0.46364169889592133,0.5034945698381846,0.03985287094226331,8.595618348644157,0.49578234553337097,0.5100448727607727,0.014262527227401733,2.8767719052314917
random,1,random1_rep1,3,0.46364169889592133,0.4718339004947462,0.008192201598824889,1.7669251101298982,0.49578234553337097,0.49990811944007874,0.004125773906707764,0.832174429742791
random,1,random1_rep2,0,0.46364169889592133,0.4788963346641003,0.015254635768178981,3.290177696377425,0.49578234553337097,0.5068238377571106,0.011041492223739624,2.2270845912960056
random,1,random1_rep3,8,0.46364169889592133,0.5034945698381846,0.03985287094226331,8.595618348644157,0.49578234553337097,0.5100448727607727,0.014262527227401733,2.8767719052314917
random,1,random1_rep4,7,0.46364169889592133,0.47662717632209456,0.01298547742617323,2.8007570192879094,0.49578234553337097,0.5011609792709351,0.005378633737564087,1.0848780288409952
random,1,random1_rep5,7,0.46364169889592133,0.47662717632209456,0.01298547742617323,2.8007570192879094,0.49578234553337097,0.5011609792709351,0.005378633737564087,1.0848780288409952
random,1,random1_rep6,4,0.46364169889592133,0.48215119017602115,0.01850949128009982,3.992197277375357,0.49578234553337097,0.507449209690094,0.011666864156723022,2.35322299429029
random,1,random1_rep7,3,0.46364169889592133,0.4718339004947462,0.008192201598824889,1.7669251101298982,0.49578234553337097,0.49990811944007874,0.004125773906707764,0.832174429742791
random,1,random1_rep8,2,0.46364169889592133,0.4840022827956748,0.02036058389975348,4.3914479539348,0.49578234553337097,0.5079786777496338,0.012196332216262817,2.4600174504281305
random,1,random1_rep9,13,0.46364169889592133,0.45380676166083467,-0.00983493723508666,-2.1212365623080887,0.49578234553337097,0.49193304777145386,-0.0038492977619171143,-0.7764088004739207
random,1,random1_rep10,1,0.46364169889592133,0.4817490823067914,0.018107383410870093,3.905469127127595,0.49578234553337097,0.5075571537017822,0.011774808168411255,2.3749954540522653
random,1,random1_rep11,0,0.46364169889592133,0.4788963346641003,0.015254635768178981,3.290177696377425,0.49578234553337097,0.5068238377571106,0.011041492223739624,2.2270845912960056
random,1,random1_rep12,2,0.46364169889592133,0.4840022827956748,0.02036058389975348,4.3914479539348,0.49578234553337097,0.5079786777496338,0.012196332216262817,2.4600174504281305
