query_id,topk_channel_indices,topk_channel_names,topk_attention_weights,attention_entropy,max_attention_weight
q0,32 57 122 104 131,32 | 57 | 122 | 104 | 131,0.00582323 0.00542624 0.00427909 0.00405278 0.00402131,5.76620245,0.00582323
q1,32 57 122 104 131,32 | 57 | 122 | 104 | 131,0.00500357 0.00474627 0.00396272 0.00380505 0.00377519,5.76847124,0.00500357
q2,245 298 116 128 111,245 | 298 | 116 | 128 | 111,0.00427017 0.00403270 0.00385776 0.00378629 0.00373376,5.76961994,0.00427017
q3,245 298 111 116 128,245 | 298 | 111 | 116 | 128,0.00536393 0.00486702 0.00441346 0.00435122 0.00421242,5.76616859,0.00536393
q4,32 57 122 104 131,32 | 57 | 122 | 104 | 131,0.00465454 0.00444940 0.00382144 0.00369086 0.00367555,5.76933384,0.00465454
q5,245 298 116 128 111,245 | 298 | 116 | 128 | 111,0.00389477 0.00372131 0.00362360 0.00356699 0.00354239,5.77054167,0.00389477
q6,182 88 90 158 198,182 | 88 | 90 | 158 | 198,0.60148412 0.06160162 0.05074140 0.03223702 0.01128987,2.49949169,0.60148412
q7,245 298 116 111 128,245 | 298 | 116 | 111 | 128,0.00317775 0.00316189 0.00315992 0.00315468 0.00315194,5.77143288,0.00317775
q8,32 57 122 104 131,32 | 57 | 122 | 104 | 131,0.00352928 0.00348010 0.00331626 0.00328301 0.00326873,5.77123547,0.00352928
q9,245 298 128 113 105,245 | 298 | 128 | 113 | 105,0.31321546 0.20745115 0.14271291 0.05896725 0.05149333,2.25811195,0.31321546
q10,65 259 275 186 214,65 | 259 | 275 | 186 | 214,0.00339039 0.00333080 0.00332816 0.00329274 0.00327677,5.77122688,0.00339039
q11,245 298 128 105 113,245 | 298 | 128 | 105 | 113,0.36423635 0.21988527 0.06340975 0.05683356 0.05336443,2.22621036,0.36423635
q12,32 57 122 120 131,32 | 57 | 122 | 120 | 131,0.00613698 0.00544304 0.00423096 0.00419002 0.00418457,5.76499939,0.00613698
q13,298 17 4 133 116,298 | 17 | 4 | 133 | 116,0.15477307 0.12724012 0.03637458 0.03501198 0.02437890,4.44336271,0.15477307
q14,32 57 216 119 133,32 | 57 | 216 | 119 | 133,0.85875320 0.12773110 0.00168323 0.00156927 0.00152044,0.49827170,0.85875320
q15,32 117 57 120 131,32 | 117 | 57 | 120 | 131,0.89367539 0.03355996 0.03344625 0.02370583 0.00808289,0.50326705,0.89367539
