q0: indices=[32, 57, 122, 104, 131], names=['32', '57', '122', '104', '131'], weights=[0.005823, 0.005426, 0.004279, 0.004053, 0.004021], entropy=5.766202, max=0.005823
q1: indices=[32, 57, 122, 104, 131], names=['32', '57', '122', '104', '131'], weights=[0.005004, 0.004746, 0.003963, 0.003805, 0.003775], entropy=5.768471, max=0.005004
q2: indices=[245, 298, 116, 128, 111], names=['245', '298', '116', '128', '111'], weights=[0.00427, 0.004033, 0.003858, 0.003786, 0.003734], entropy=5.769620, max=0.004270
q3: indices=[245, 298, 111, 116, 128], names=['245', '298', '111', '116', '128'], weights=[0.005364, 0.004867, 0.004413, 0.004351, 0.004212], entropy=5.766169, max=0.005364
q4: indices=[32, 57, 122, 104, 131], names=['32', '57', '122', '104', '131'], weights=[0.004655, 0.004449, 0.003821, 0.003691, 0.003676], entropy=5.769334, max=0.004655
q5: indices=[245, 298, 116, 128, 111], names=['245', '298', '116', '128', '111'], weights=[0.003895, 0.003721, 0.003624, 0.003567, 0.003542], entropy=5.770542, max=0.003895
q6: indices=[182, 88, 90, 158, 198], names=['182', '88', '90', '158', '198'], weights=[0.601484, 0.061602, 0.050741, 0.032237, 0.01129], entropy=2.499492, max=0.601484
q7: indices=[245, 298, 116, 111, 128], names=['245', '298', '116', '111', '128'], weights=[0.003178, 0.003162, 0.00316, 0.003155, 0.003152], entropy=5.771433, max=0.003178
q8: indices=[32, 57, 122, 104, 131], names=['32', '57', '122', '104', '131'], weights=[0.003529, 0.00348, 0.003316, 0.003283, 0.003269], entropy=5.771235, max=0.003529
q9: indices=[245, 298, 128, 113, 105], names=['245', '298', '128', '113', '105'], weights=[0.313215, 0.207451, 0.142713, 0.058967, 0.051493], entropy=2.258112, max=0.313215
q10: indices=[65, 259, 275, 186, 214], names=['65', '259', '275', '186', '214'], weights=[0.00339, 0.003331, 0.003328, 0.003293, 0.003277], entropy=5.771227, max=0.003390
q11: indices=[245, 298, 128, 105, 113], names=['245', '298', '128', '105', '113'], weights=[0.364236, 0.219885, 0.06341, 0.056834, 0.053364], entropy=2.226210, max=0.364236
q12: indices=[32, 57, 122, 120, 131], names=['32', '57', '122', '120', '131'], weights=[0.006137, 0.005443, 0.004231, 0.00419, 0.004185], entropy=5.764999, max=0.006137
q13: indices=[298, 17, 4, 133, 116], names=['298', '17', '4', '133', '116'], weights=[0.154773, 0.12724, 0.036375, 0.035012, 0.024379], entropy=4.443363, max=0.154773
q14: indices=[32, 57, 216, 119, 133], names=['32', '57', '216', '119', '133'], weights=[0.858753, 0.127731, 0.001683, 0.001569, 0.00152], entropy=0.498272, max=0.858753
q15: indices=[32, 117, 57, 120, 131], names=['32', '117', '57', '120', '131'], weights=[0.893675, 0.03356, 0.033446, 0.023706, 0.008083], entropy=0.503267, max=0.893675
