id,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
q0,0.99999982,0.99806792,-0.94921672,-0.86153853,0.99773252,-0.92384589,0.99711871,0.78412700,0.99442935,-0.93324125,0.99814332,-0.92180514,0.99418420,-0.90687317,0.99056506,0.99711710
q1,0.99806792,0.99999982,-0.93899661,-0.84695268,0.99513572,-0.91272801,0.99439633,0.80140162,0.99658412,-0.92032927,0.99488288,-0.90950096,0.98899072,-0.89265591,0.98391831,0.99435461
q2,-0.94921672,-0.93899661,1.00000000,0.97416294,-0.95933557,0.99622160,-0.96811491,-0.55555528,-0.92254794,0.99757093,-0.96616215,0.99507576,-0.97695488,0.99171317,-0.98257440,-0.96935427
q3,-0.86153853,-0.84695268,0.97416294,1.00000024,-0.88360614,0.98886418,-0.89433664,-0.36371586,-0.82786340,0.98273653,-0.88864714,0.98927230,-0.90888059,0.99408257,-0.91923988,-0.89479303
q4,0.99773252,0.99513572,-0.95933557,-0.88360614,1.00000024,-0.93874645,0.99867654,0.75290096,0.99237692,-0.94663560,0.99781626,-0.93795443,0.99606174,-0.92354965,0.99279600,0.99749357
q5,-0.92384589,-0.91272801,0.99622160,0.98886418,-0.93874645,1.00000024,-0.94815630,-0.49046507,-0.89511329,0.99786049,-0.94434953,0.99924088,-0.95840222,0.99813831,-0.96542984,-0.94870478
q6,0.99711871,0.99439633,-0.96811491,-0.89433664,0.99867654,-0.94815630,1.00000000,0.74022079,0.98805207,-0.95555121,0.99945402,-0.94663382,0.99874067,-0.93308324,0.99647707,0.99951732
q7,0.78412700,0.80140162,-0.55555528,-0.36371586,0.75290096,-0.49046507,0.74022079,0.99999982,0.81659585,-0.51376802,0.74863911,-0.48499706,0.71629590,-0.45121706,0.69635266,0.74029005
q8,0.99442935,0.99658412,-0.92254794,-0.82786340,0.99237692,-0.89511329,0.98805207,0.81659585,0.99999988,-0.90357178,0.98814088,-0.89277858,0.98058647,-0.87516475,0.97428960,0.98704654
q9,-0.93324125,-0.92032927,0.99757093,0.98273653,-0.94663560,0.99786049,-0.95555121,-0.51376802,-0.90357178,1.00000000,-0.95244259,0.99866092,-0.96611655,0.99643421,-0.97265065,-0.95558441
q10,0.99814332,0.99488288,-0.96616215,-0.88864714,0.99781626,-0.94434953,0.99945402,0.74863911,0.98814088,-0.95244259,0.99999988,-0.94232708,0.99873650,-0.92931783,0.99679834,0.99976003
q11,-0.92180514,-0.90950096,0.99507576,0.98927230,-0.93795443,0.99924088,-0.94663382,-0.48499706,-0.89277858,0.99866092,-0.94232708,1.00000000,-0.95709658,0.99842066,-0.96396869,-0.94632345
q12,0.99418420,0.98899072,-0.97695488,-0.90888059,0.99606174,-0.95840222,0.99874067,0.71629590,0.98058647,-0.96611655,0.99873650,-0.95709658,0.99999982,-0.94571012,0.99935746,0.99889666
q13,-0.90687317,-0.89265591,0.99171317,0.99408257,-0.92354965,0.99813831,-0.93308324,-0.45121706,-0.87516475,0.99643421,-0.92931783,0.99842066,-0.94571012,1.00000000,-0.95431405,-0.93363887
q14,0.99056506,0.98391831,-0.98257440,-0.91923988,0.99279600,-0.96542984,0.99647707,0.69635266,0.97428960,-0.97265065,0.99679834,-0.96396869,0.99935746,-0.95431405,1.00000012,0.99718159
q15,0.99711710,0.99435461,-0.96935427,-0.89479303,0.99749357,-0.94870478,0.99951732,0.74029005,0.98704654,-0.95558441,0.99976003,-0.94632345,0.99889666,-0.93363887,0.99718159,1.00000012
