query_id,topk_channel_indices,topk_channel_names,topk_attention_weights,attention_entropy,max_attention_weight
q0,0 46 68 202 106,0 | 46 | 68 | 202 | 106,0.47010916 0.41630048 0.04740281 0.02884009 0.02841086,1.12208807,0.47010916
q1,216 59 61 113 6,216 | 59 | 61 | 113 | 6,0.46050510 0.20551273 0.19301085 0.11279254 0.01643632,1.39267135,0.46050510
q2,245 298 128 105 116,245 | 298 | 128 | 105 | 116,0.30834419 0.20697325 0.14645357 0.05483544 0.04589454,2.19902849,0.30834419
q3,53 319 27 126 28,53 | 319 | 27 | 126 | 28,0.21324511 0.11866945 0.06275973 0.06095375 0.05630158,3.74018526,0.21324511
q4,112 299 4 222 240,112 | 299 | 4 | 222 | 240,0.35677010 0.28869009 0.13747522 0.10735562 0.03463079,1.69998455,0.35677010
q5,128 111 4 116 81,128 | 111 | 4 | 116 | 81,0.25819281 0.10320731 0.05903850 0.05280710 0.04676056,3.71482563,0.25819281
q6,57 134 277 246 76,57 | 134 | 277 | 246 | 76,0.20763521 0.17221119 0.16099235 0.14725083 0.07726177,2.16757679,0.20763521
q7,146 245 127 298 53,146 | 245 | 127 | 298 | 53,0.00534049 0.00521968 0.00483586 0.00464426 0.00460647,5.76013327,0.00534049
q8,277 2 76 311 317,277 | 2 | 76 | 311 | 317,0.62630790 0.25218087 0.04284541 0.02742114 0.02684726,1.14912581,0.62630790
q9,298 53 23 133 18,298 | 53 | 23 | 133 | 18,0.56148535 0.10314249 0.08050624 0.05147854 0.03047217,1.81240869,0.56148535
q10,57 32 131 132 25,57 | 32 | 131 | 132 | 25,0.32270101 0.04950986 0.02712717 0.01069550 0.01037636,4.22880077,0.32270101
q11,127 298 53 146 147,127 | 298 | 53 | 146 | 147,0.18828090 0.10892536 0.08322434 0.07005769 0.05657031,2.94719672,0.18828090
q12,122 104 117 120 81,122 | 104 | 117 | 120 | 81,0.44098455 0.20163572 0.09969632 0.09032698 0.05055084,1.73135900,0.44098455
q13,118 24 111 128 48,118 | 24 | 111 | 128 | 48,0.40286922 0.19722569 0.14449841 0.08222414 0.02370428,2.13042283,0.40286922
q14,57 131 318 25 132,57 | 131 | 318 | 25 | 132,0.98702055 0.01283708 0.00012304 0.00001775 0.00000105,0.07012910,0.98702055
q15,32 117 122 120 104,32 | 117 | 122 | 120 | 104,0.26118374 0.05207778 0.04871493 0.02987223 0.02907159,4.29184628,0.26118374
