query_id,topk_channel_indices,topk_channel_names,topk_attention_weights,attention_entropy,max_attention_weight
q0,138 132 134 182 125,138 | 132 | 134 | 182 | 125,0.08121102 0.06441550 0.06116474 0.05913392 0.04969692,3.95675349,0.08121102
q1,113 105 116 111 81,113 | 105 | 116 | 111 | 81,0.03095782 0.02515075 0.02359361 0.02142537 0.01681603,5.42810011,0.03095782
q2,104 81 112 120 230,104 | 81 | 112 | 120 | 230,0.58615249 0.09376886 0.08551913 0.07702278 0.03330136,1.58719134,0.58615249
q3,116 111 113 105 81,116 | 111 | 113 | 105 | 81,0.17251439 0.13875572 0.11408075 0.11264417 0.07632886,2.73534226,0.17251439
q4,182 172 273 191 192,182 | 172 | 273 | 191 | 192,0.62665105 0.26438802 0.03691285 0.03690148 0.01701871,1.05619204,0.62665105
q5,127 20 25 5 210,127 | 20 | 25 | 5 | 210,0.50311214 0.15288366 0.09280033 0.06018017 0.04098571,2.18659163,0.50311214
q6,158 172 191 63 273,158 | 172 | 191 | 63 | 273,0.32121000 0.13022627 0.10815550 0.10458723 0.10063259,2.11094832,0.32121000
q7,23 128 245 147 20,23 | 128 | 245 | 147 | 20,0.23301914 0.21855792 0.18733516 0.15373938 0.03770264,2.05767989,0.23301914
q8,119 319 284 8 27,119 | 319 | 284 | 8 | 27,0.55923307 0.11337750 0.09521601 0.09374654 0.02339072,1.67244935,0.55923307
q9,32 120 1 131 119,32 | 120 | 1 | 131 | 119,0.97133958 0.01605050 0.01250000 0.00010974 0.00000013,0.15034510,0.97133958
q10,245 298 128 133 53,245 | 298 | 128 | 133 | 53,0.48143390 0.27433619 0.15674104 0.03963140 0.02831706,1.33493519,0.48143390
q11,192 106 88 5 182,192 | 106 | 88 | 5 | 182,0.31936467 0.20913830 0.18616514 0.09426795 0.07852639,1.82836497,0.31936467
q12,32 57 122 131 1,32 | 57 | 122 | 131 | 1,0.12430862 0.06747143 0.02022341 0.01617870 0.01494513,4.97833776,0.12430862
q13,104 0 230 106 11,104 | 0 | 230 | 106 | 11,0.25206709 0.18742821 0.13025908 0.08687763 0.05662774,2.32840514,0.25206709
q14,146 56 145 133 127,146 | 56 | 145 | 133 | 127,0.19556928 0.18362789 0.07583743 0.06672367 0.05089160,3.60340810,0.19556928
q15,245 298 128 146 127,245 | 298 | 128 | 146 | 127,0.00509495 0.00487709 0.00416492 0.00400325 0.00364278,5.76864815,0.00509495
