query_id,topk_channel_indices,topk_channel_names,topk_attention_weights,attention_entropy,max_attention_weight
q0,256 0 98 299 29,256 | 0 | 98 | 299 | 29,0.18610673 0.12247954 0.12034452 0.11236590 0.10062493,2.43804145,0.18610673
q1,0 256 6 306 29,0 | 256 | 6 | 306 | 29,0.38063011 0.36249033 0.07918431 0.06948332 0.02727331,1.69804966,0.38063011
q2,298 128 81 4 116,298 | 128 | 81 | 4 | 116,0.28911245 0.20048851 0.05080612 0.04982694 0.04042173,2.66893721,0.28911245
q3,319 318 245 26 27,319 | 318 | 245 | 26 | 27,0.18176869 0.05363518 0.05099900 0.01791833 0.01412855,4.88492680,0.18176869
q4,57 119 81 1 104,57 | 119 | 81 | 1 | 104,0.69175738 0.15934689 0.10534275 0.01444863 0.01206000,1.00457680,0.69175738
q5,298 81 128 68 4,298 | 81 | 128 | 68 | 4,0.15214548 0.03266634 0.02962902 0.01807788 0.01700223,4.98843908,0.15214548
q6,273 122 134 26 293,273 | 122 | 134 | 26 | 293,0.25518140 0.19765499 0.19661491 0.17329979 0.10999388,1.80055046,0.25518140
q7,32 57 119 284 104,32 | 57 | 119 | 284 | 104,0.00928804 0.00806862 0.00566734 0.00510598 0.00500619,5.75308752,0.00928804
q8,293 26 273 319 32,293 | 26 | 273 | 319 | 32,0.34228429 0.30507717 0.13447687 0.08719541 0.00723619,2.18331003,0.34228429
q9,245 298 116 113 105,245 | 298 | 116 | 113 | 105,0.60309583 0.07739081 0.05908222 0.05592342 0.03862910,1.64262080,0.60309583
q10,245 298 116 146 128,245 | 298 | 116 | 146 | 128,0.00776797 0.00503840 0.00488589 0.00462245 0.00455616,5.76110792,0.00776797
q11,245 53 319 27 52,245 | 53 | 319 | 27 | 52,0.91276664 0.04128908 0.01212282 0.01025503 0.00963374,0.45462400,0.91276664
q12,32 57 117 1 119,32 | 57 | 117 | 1 | 119,0.75836796 0.18502273 0.03524245 0.00942127 0.00233549,0.77756822,0.75836796
q13,298 245 319 23 318,298 | 245 | 319 | 23 | 318,0.26284403 0.21508384 0.11506891 0.10839808 0.09006318,2.35798049,0.26284403
q14,122 131 25 46 134,122 | 131 | 25 | 46 | 134,0.63220596 0.15299356 0.10421325 0.02130381 0.02056883,1.32794321,0.63220596
q15,57 122 117 131 32,57 | 122 | 117 | 131 | 32,0.24856496 0.13548759 0.08131869 0.07739531 0.07165046,3.26360989,0.24856496
