id,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
q0,0.99999988,0.79581100,0.98698926,0.78471053,0.89936465,0.99959022,0.99481672,0.76536465,0.91456020,0.89113820,0.84489280,0.99937987,0.93804932,0.96272135,0.79741478,0.81658262
q1,0.79581100,1.00000012,0.86638206,0.99013126,0.95770097,0.79053265,0.81877893,0.98555756,0.80629027,0.84669340,0.93485403,0.78487182,0.82774514,0.83168089,0.97832632,0.96070129
q2,0.98698926,0.86638206,1.00000012,0.84977305,0.95528567,0.98667514,0.98353404,0.85062110,0.89495438,0.88393909,0.87200546,0.98519182,0.92365628,0.95056140,0.87824762,0.85892534
q3,0.78471053,0.99013126,0.84977305,0.99999994,0.93258554,0.77788079,0.81404930,0.95780784,0.83650470,0.88063133,0.96427089,0.77238214,0.85043913,0.84419453,0.95100701,0.98520219
q4,0.89936465,0.95770097,0.95528567,0.93258554,0.99999988,0.89752054,0.90552884,0.96473134,0.81794524,0.83237451,0.88674349,0.89328176,0.85417742,0.88205385,0.97975731,0.90275002
q5,0.99959022,0.79053265,0.98667514,0.77788079,0.89752054,1.00000012,0.99155927,0.76205570,0.90577638,0.88216704,0.83628976,0.99994457,0.92957115,0.95519030,0.79420865,0.80825001
q6,0.99481672,0.81877893,0.98353404,0.81404930,0.90552884,0.99155927,0.99999994,0.78100049,0.94230711,0.92176419,0.87807691,0.99070591,0.96411055,0.98427671,0.81142163,0.85016841
q7,0.76536465,0.98555756,0.85062110,0.95780784,0.96473134,0.76205570,0.78100049,1.00000012,0.72381157,0.76297462,0.86735952,0.75591093,0.75649542,0.77417296,0.99597681,0.90372771
q8,0.91456020,0.80629027,0.89495438,0.83650470,0.81794524,0.90577638,0.94230711,0.72381157,1.00000024,0.99372786,0.94200498,0.90464860,0.99589533,0.98037058,0.73880941,0.90435869
q9,0.89113820,0.84669340,0.88393909,0.88063133,0.83237451,0.88216704,0.92176419,0.76297462,0.99372786,1.00000000,0.97104931,0.88032562,0.98738867,0.96663189,0.77108216,0.94125950
q10,0.84489280,0.93485403,0.87200546,0.96427089,0.88674349,0.83628976,0.87807691,0.86735952,0.94200498,0.97104931,1.00000012,0.83254671,0.94239390,0.92386973,0.86613894,0.99432570
q11,0.99937987,0.78487182,0.98519182,0.77238214,0.89328176,0.99994457,0.99070591,0.75591093,0.90464860,0.88032562,0.83254671,1.00000012,0.92810297,0.95364755,0.78832477,0.80370092
q12,0.93804932,0.82774514,0.92365628,0.85043913,0.85417742,0.92957115,0.96411055,0.75649542,0.99589533,0.98738867,0.94239390,0.92810297,0.99999988,0.99379033,0.77573133,0.90928316
q13,0.96272135,0.83168089,0.95056140,0.84419453,0.88205385,0.95519030,0.98427671,0.77417296,0.98037058,0.96663189,0.92386973,0.95364755,0.99379033,1.00000012,0.79955000,0.89389080
q14,0.79741478,0.97832632,0.87824762,0.95100701,0.97975731,0.79420865,0.81142163,0.99597681,0.73880941,0.77108216,0.86613894,0.78832477,0.77573133,0.79955000,1.00000000,0.89920235
q15,0.81658262,0.96070129,0.85892534,0.98520219,0.90275002,0.80825001,0.85016841,0.90372771,0.90435869,0.94125950,0.99432570,0.80370092,0.90928316,0.89389080,0.89920235,1.00000000
