query_id,topk_channel_indices,topk_channel_names,topk_attention_weights,attention_entropy,max_attention_weight
q0,136 212 208 145 260,136 | 212 | 208 | 145 | 260,0.85531062 0.03652521 0.02643499 0.01663786 0.01184060,0.83656168,0.85531062
q1,88 298 19 16 107,88 | 298 | 19 | 16 | 107,0.44486967 0.19657180 0.12194519 0.03758394 0.02310971,2.14166617,0.44486967
q2,136 212 298 145 208,136 | 212 | 298 | 145 | 208,0.78242904 0.05441191 0.04346431 0.02073308 0.01837314,1.15210235,0.78242904
q3,88 298 19 182 16,88 | 298 | 19 | 182 | 16,0.73261333 0.13810202 0.03027720 0.02690915 0.01632235,1.10954392,0.73261333
q4,136 298 212 145 23,136 | 298 | 212 | 145 | 23,0.41686967 0.10316312 0.07152298 0.03329961 0.02708700,2.83070683,0.41686967
q5,136 212 208 145 260,136 | 212 | 208 | 145 | 260,0.93547207 0.02759890 0.01015065 0.00927398 0.00389273,0.37964138,0.93547207
q6,136 208 212 260 145,136 | 208 | 212 | 260 | 145,0.55294222 0.05134673 0.04929952 0.02922069 0.02862160,2.50869441,0.55294222
q7,298 19 20 88 84,298 | 19 | 20 | 88 | 84,0.22509345 0.10666825 0.05162747 0.04541381 0.02993605,3.86673832,0.22509345
q8,182 88 32 158 2,182 | 88 | 32 | 158 | 2,0.08619158 0.05187195 0.03469985 0.02967212 0.02534489,4.83306217,0.08619158
q9,88 182 32 2 107,88 | 182 | 32 | 2 | 107,0.27278307 0.17688519 0.05235922 0.03539253 0.03465994,3.29557085,0.27278307
q10,88 182 32 107 298,88 | 182 | 32 | 107 | 298,0.68899059 0.13811444 0.02292908 0.02187814 0.02153427,1.37902200,0.68899059
q11,136 212 208 145 260,136 | 212 | 208 | 145 | 260,0.95558780 0.01800864 0.00886472 0.00633973 0.00317653,0.27228481,0.95558780
q12,158 182 299 103 120,158 | 182 | 299 | 103 | 120,0.01485099 0.01047722 0.00929274 0.00922479 0.00920883,5.62524843,0.01485099
q13,136 208 260 275 212,136 | 208 | 260 | 275 | 212,0.06784340 0.02449517 0.01905546 0.01871826 0.01518113,5.09177780,0.06784340
q14,298 136 128 84 27,298 | 136 | 128 | 84 | 27,0.14702182 0.04486900 0.04057454 0.03492825 0.02556803,4.58068848,0.14702182
q15,88 182 298 107 19,88 | 182 | 298 | 107 | 19,0.82940251 0.06468277 0.02186093 0.01298306 0.01240771,0.86211056,0.82940251
