q0: indices=[136, 212, 208, 145, 260], names=['136', '212', '208', '145', '260'], weights=[0.855311, 0.036525, 0.026435, 0.016638, 0.011841], entropy=0.836562, max=0.855311
q1: indices=[88, 298, 19, 16, 107], names=['88', '298', '19', '16', '107'], weights=[0.44487, 0.196572, 0.121945, 0.037584, 0.02311], entropy=2.141666, max=0.444870
q2: indices=[136, 212, 298, 145, 208], names=['136', '212', '298', '145', '208'], weights=[0.782429, 0.054412, 0.043464, 0.020733, 0.018373], entropy=1.152102, max=0.782429
q3: indices=[88, 298, 19, 182, 16], names=['88', '298', '19', '182', '16'], weights=[0.732613, 0.138102, 0.030277, 0.026909, 0.016322], entropy=1.109544, max=0.732613
q4: indices=[136, 298, 212, 145, 23], names=['136', '298', '212', '145', '23'], weights=[0.41687, 0.103163, 0.071523, 0.0333, 0.027087], entropy=2.830707, max=0.416870
q5: indices=[136, 212, 208, 145, 260], names=['136', '212', '208', '145', '260'], weights=[0.935472, 0.027599, 0.010151, 0.009274, 0.003893], entropy=0.379641, max=0.935472
q6: indices=[136, 208, 212, 260, 145], names=['136', '208', '212', '260', '145'], weights=[0.552942, 0.051347, 0.0493, 0.029221, 0.028622], entropy=2.508694, max=0.552942
q7: indices=[298, 19, 20, 88, 84], names=['298', '19', '20', '88', '84'], weights=[0.225093, 0.106668, 0.051627, 0.045414, 0.029936], entropy=3.866738, max=0.225093
q8: indices=[182, 88, 32, 158, 2], names=['182', '88', '32', '158', '2'], weights=[0.086192, 0.051872, 0.0347, 0.029672, 0.025345], entropy=4.833062, max=0.086192
q9: indices=[88, 182, 32, 2, 107], names=['88', '182', '32', '2', '107'], weights=[0.272783, 0.176885, 0.052359, 0.035393, 0.03466], entropy=3.295571, max=0.272783
q10: indices=[88, 182, 32, 107, 298], names=['88', '182', '32', '107', '298'], weights=[0.688991, 0.138114, 0.022929, 0.021878, 0.021534], entropy=1.379022, max=0.688991
q11: indices=[136, 212, 208, 145, 260], names=['136', '212', '208', '145', '260'], weights=[0.955588, 0.018009, 0.008865, 0.00634, 0.003177], entropy=0.272285, max=0.955588
q12: indices=[158, 182, 299, 103, 120], names=['158', '182', '299', '103', '120'], weights=[0.014851, 0.010477, 0.009293, 0.009225, 0.009209], entropy=5.625248, max=0.014851
q13: indices=[136, 208, 260, 275, 212], names=['136', '208', '260', '275', '212'], weights=[0.067843, 0.024495, 0.019055, 0.018718, 0.015181], entropy=5.091778, max=0.067843
q14: indices=[298, 136, 128, 84, 27], names=['298', '136', '128', '84', '27'], weights=[0.147022, 0.044869, 0.040575, 0.034928, 0.025568], entropy=4.580688, max=0.147022
q15: indices=[88, 182, 298, 107, 19], names=['88', '182', '298', '107', '19'], weights=[0.829403, 0.064683, 0.021861, 0.012983, 0.012408], entropy=0.862111, max=0.829403
