id,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
q0,1.00000012,0.29285875,-0.03505288,-0.08578829,0.01284957,0.36966944,0.49279213,0.23831338,0.25393337,0.19341911,-0.43647391,0.25450081,0.28535733,-0.04696374,0.19733545,0.09079159
q1,0.29285875,0.99999994,-0.26416779,-0.52153111,-0.46355125,0.24722916,0.50598013,0.25371027,0.81898367,0.10502198,-0.21625565,0.29364479,-0.37955329,-0.04229408,-0.46820241,0.29686248
q2,-0.03505288,-0.26416779,1.00000012,0.70688850,0.35265729,-0.21558501,-0.13343100,0.22072122,-0.11594118,0.07508068,0.70151335,-0.50351077,0.45908263,0.43807667,0.45095953,0.53827375
q3,-0.08578829,-0.52153111,0.70688850,1.00000024,0.76596659,-0.40329099,-0.45830369,0.36657947,-0.44330442,0.26917499,0.53013349,-0.58899069,0.67230433,-0.06145557,0.76141936,0.38141468
q4,0.01284957,-0.46355125,0.35265729,0.76596659,1.00000000,-0.08887497,-0.46371257,0.51994807,-0.40362301,0.39769766,0.26194710,-0.45181262,0.86952168,-0.30037269,0.94629973,0.06805350
q5,0.36966944,0.24722916,-0.21558501,-0.40329099,-0.08887497,0.99999994,0.14695063,0.23431000,0.03324473,-0.08470628,-0.24073422,0.68737525,-0.01202853,0.12086450,0.00799671,-0.34561831
q6,0.49279213,0.50598013,-0.13343100,-0.45830369,-0.46371257,0.14695063,0.99999988,-0.27765664,0.41373831,-0.21535273,-0.43597299,0.20015591,-0.39638695,0.42972457,-0.40472168,0.16835028
q7,0.23831338,0.25371027,0.22072122,0.36657947,0.51994807,0.23431000,-0.27765664,0.99999994,0.24128021,0.66778219,0.30414024,-0.10429033,0.49717760,-0.44768840,0.54181296,0.47669974
q8,0.25393337,0.81898367,-0.11594118,-0.44330442,-0.40362301,0.03324473,0.41373831,0.24128021,1.00000012,0.29661584,-0.10118850,0.09323929,-0.25619420,-0.01325826,-0.38120532,0.48567310
q9,0.19341911,0.10502198,0.07508068,0.26917499,0.39769766,-0.08470628,-0.21535273,0.66778219,0.29661584,1.00000024,0.30281615,-0.19703403,0.44154635,-0.58515549,0.40809575,0.49608105
q10,-0.43647391,-0.21625565,0.70151335,0.53013349,0.26194710,-0.24073422,-0.43597299,0.30414024,-0.10118850,0.30281615,1.00000000,-0.41516760,0.29585198,0.13637185,0.31828788,0.45855692
q11,0.25450081,0.29364479,-0.50351077,-0.58899069,-0.45181262,0.68737525,0.20015591,-0.10429033,0.09323929,-0.19703403,-0.41516760,1.00000012,-0.39776406,0.11772571,-0.41997764,-0.32447311
q12,0.28535733,-0.37955329,0.45908263,0.67230433,0.86952168,-0.01202853,-0.39638695,0.49717760,-0.25619420,0.44154635,0.29585198,-0.39776406,1.00000000,-0.24196409,0.93465000,0.08734586
q13,-0.04696374,-0.04229408,0.43807667,-0.06145557,-0.30037269,0.12086450,0.42972457,-0.44768840,-0.01325826,-0.58515549,0.13637185,0.11772571,-0.24196409,0.99999994,-0.22514088,0.02341142
q14,0.19733545,-0.46820241,0.45095953,0.76141936,0.94629973,0.00799671,-0.40472168,0.54181296,-0.38120532,0.40809575,0.31828788,-0.41997764,0.93465000,-0.22514088,0.99999994,0.09590419
q15,0.09079159,0.29686248,0.53827375,0.38141468,0.06805350,-0.34561831,0.16835028,0.47669974,0.48567310,0.49608105,0.45855692,-0.32447311,0.08734586,0.02341142,0.09590419,0.99999994
