query_id,topk_channel_indices,topk_channel_names,topk_attention_weights,attention_entropy,max_attention_weight
q0,127 129 125 126 304,127 | 129 | 125 | 126 | 304,0.32625562 0.23051132 0.04886348 0.04851369 0.04400716,2.39501429,0.32625562
q1,20 25 56 87 17,20 | 25 | 56 | 87 | 17,0.07918032 0.07652792 0.05952507 0.05503728 0.05022591,3.87346983,0.07918032
q2,104 119 115 0 99,104 | 119 | 115 | 0 | 99,0.29172918 0.12260444 0.08046769 0.05907076 0.04082374,2.92363310,0.29172918
q3,32 298 315 276 46,32 | 298 | 315 | 276 | 46,0.40818390 0.10289812 0.06320541 0.04659384 0.03665270,2.63029122,0.40818390
q4,291 227 241 264 271,291 | 227 | 241 | 264 | 271,0.21763949 0.16967492 0.11699911 0.10685609 0.07122908,2.64679193,0.21763949
q5,245 147 270 318 258,245 | 147 | 270 | 318 | 258,0.50609577 0.25797874 0.08135311 0.04171494 0.03362312,1.59824681,0.50609577
q6,116 118 105 113 115,116 | 118 | 105 | 113 | 115,0.31201458 0.14568572 0.09363828 0.08341188 0.06601986,2.54754019,0.31201458
q7,289 288 283 169 223,289 | 288 | 283 | 169 | 223,0.20088702 0.18365604 0.09088666 0.07325535 0.07038858,2.90546536,0.20088702
q8,91 85 10 79 89,91 | 85 | 10 | 79 | 89,0.09916407 0.08815995 0.07174550 0.07093337 0.05402188,3.37721705,0.09916407
q9,182 273 188 21 187,182 | 273 | 188 | 21 | 187,0.46928635 0.27719650 0.07403283 0.03939012 0.02615688,1.73052824,0.46928635
q10,57 81 69 59 107,57 | 81 | 69 | 59 | 107,0.67501885 0.10998096 0.05565621 0.01919937 0.01278297,1.50278068,0.67501885
q11,146 286 245 298 33,146 | 286 | 245 | 298 | 33,0.62555897 0.05700282 0.05276958 0.04589760 0.03754883,1.76517975,0.62555897
q12,299 316 314 246 306,299 | 316 | 314 | 246 | 306,0.16017814 0.13721915 0.12100510 0.08149256 0.04764188,3.12994504,0.16017814
q13,114 102 180 115 101,114 | 102 | 180 | 115 | 101,0.35331023 0.22085826 0.17158362 0.08578700 0.04200810,1.98406911,0.35331023
q14,216 307 233 226 258,216 | 307 | 233 | 226 | 258,0.14295566 0.12216983 0.11075073 0.09588280 0.09189563,2.96956682,0.14295566
q15,172 84 88 78 317,172 | 84 | 88 | 78 | 317,0.15235005 0.13239843 0.10730018 0.08094848 0.07745294,2.88543367,0.15235005
