query_id,topk_channel_indices,topk_channel_names,topk_attention_weights,attention_entropy,max_attention_weight
q0,122 46 120 125 269,122 | 46 | 120 | 125 | 269,0.17023553 0.13101515 0.05568061 0.05350056 0.05296128,3.41215467,0.17023553
q1,3 81 87 11 20,3 | 81 | 87 | 11 | 20,0.09583254 0.08869019 0.05835446 0.05016862 0.04731144,3.64842987,0.09583254
q2,90 94 95 59 91,90 | 94 | 95 | 59 | 91,0.10647285 0.07742642 0.07452687 0.06382541 0.06257426,3.56480408,0.10647285
q3,25 127 116 118 298,25 | 127 | 116 | 118 | 298,0.22682042 0.19716145 0.14714327 0.09934988 0.05980164,2.49382210,0.22682042
q4,182 309 250 303 238,182 | 309 | 250 | 303 | 238,0.30038279 0.05653818 0.02015622 0.01936582 0.01669397,3.75713730,0.30038279
q5,318 147 319 286 146,318 | 147 | 319 | 286 | 146,0.09283698 0.09097359 0.07733694 0.07511546 0.07411280,3.54134560,0.09283698
q6,299 115 130 117 32,299 | 115 | 130 | 117 | 32,0.20463943 0.14502540 0.09404982 0.08025871 0.07607163,2.84008050,0.20463943
q7,2 6 95 73 89,2 | 6 | 95 | 73 | 89,0.19822896 0.07340629 0.05176509 0.04534784 0.04110537,3.46589017,0.19822896
q8,245 146 298 23 124,245 | 146 | 298 | 23 | 124,0.32709584 0.17458661 0.10352671 0.09184878 0.05587224,2.48583698,0.32709584
q9,116 81 105 36 3,116 | 81 | 105 | 36 | 3,0.14072464 0.08421846 0.05106948 0.04891336 0.04363158,3.44489574,0.14072464
q10,153 114 94 1 90,153 | 114 | 94 | 1 | 90,0.11646903 0.08179855 0.06244681 0.05847869 0.05030948,3.50629973,0.11646903
q11,147 286 124 319 270,147 | 286 | 124 | 319 | 270,0.12341416 0.10151677 0.09274913 0.05655061 0.05131624,3.86631656,0.12341416
q12,57 119 104 113 317,57 | 119 | 104 | 113 | 317,0.24811651 0.20911734 0.14288621 0.10237938 0.08624271,2.37308025,0.24811651
q13,270 310 286 147 312,270 | 310 | 286 | 147 | 312,0.13009107 0.06842581 0.05664147 0.02427856 0.02235217,4.17358494,0.13009107
q14,310 314 303 312 238,310 | 314 | 303 | 312 | 238,0.04953881 0.03742613 0.02911155 0.02464964 0.02460073,4.49301243,0.04953881
q15,101 97 79 3 96,101 | 97 | 79 | 3 | 96,0.06771366 0.06291971 0.04618121 0.04391424 0.03680132,3.86401677,0.06771366
