id,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
q0,1.00000000,0.67293501,0.57832563,0.04021505,0.09623311,0.95628393,0.94949949,0.60715497,0.59115773,0.25227568,0.28896725,0.87570995,0.30299252,0.77141917,0.54174107,0.27288431
q1,0.67293501,1.00000000,0.37652123,0.36876920,0.19934638,0.55421096,0.79224759,0.43281427,0.96643585,0.77538198,0.63972443,0.52498293,0.51847994,0.95074344,0.22594948,0.61174196
q2,0.57832563,0.37652123,1.00000024,0.61871845,0.61692345,0.70162243,0.63055235,0.68730956,0.36924720,0.21205074,0.54675978,0.57107973,0.66697598,0.52037907,0.36656588,0.57745183
q3,0.04021505,0.36876920,0.61871845,0.99999988,0.83699596,0.15060973,0.18512006,0.54297990,0.48709822,0.57314914,0.74032456,0.11702444,0.60662079,0.33966517,0.10120721,0.89993101
q4,0.09623311,0.19934638,0.61692345,0.83699596,1.00000012,0.23231027,0.16817673,0.61790705,0.34256554,0.45571953,0.66956574,0.24752030,0.40038899,0.20563951,0.29956207,0.78788668
q5,0.95628393,0.55421096,0.70162243,0.15060973,0.23231027,1.00000012,0.91052037,0.66651815,0.48632982,0.16780472,0.29027051,0.90396059,0.36994833,0.69221586,0.61602581,0.30176848
q6,0.94949949,0.79224759,0.63055235,0.18512006,0.16817673,0.91052037,0.99999994,0.55221432,0.71478832,0.39400208,0.46491948,0.81822336,0.53597850,0.88878596,0.50173253,0.38620675
q7,0.60715497,0.43281427,0.68730956,0.54297990,0.61790705,0.66651815,0.55221432,1.00000012,0.45311150,0.31467029,0.35719171,0.73105907,0.16214423,0.49899977,0.57670033,0.69774568
q8,0.59115773,0.96643585,0.36924720,0.48709822,0.34256554,0.48632982,0.71478832,0.45311150,1.00000000,0.88915712,0.76862270,0.46408644,0.51749903,0.88145453,0.20602253,0.72691834
q9,0.25227568,0.77538198,0.21205074,0.57314914,0.45571953,0.16780472,0.39400208,0.31467029,0.88915712,1.00000000,0.85039157,0.15986069,0.44040728,0.62701857,0.00354121,0.75978124
q10,0.28896725,0.63972443,0.54675978,0.74032456,0.66956574,0.29027051,0.46491948,0.35719171,0.76862270,0.85039157,1.00000000,0.20539591,0.69874221,0.57003194,0.07339568,0.81129122
q11,0.87570995,0.52498293,0.57107973,0.11702444,0.24752030,0.90396059,0.81822336,0.73105907,0.46408644,0.15986069,0.20539591,0.99999994,0.21096732,0.64879501,0.85463428,0.35411030
q12,0.30299252,0.51847994,0.66697598,0.60662079,0.40038899,0.36994833,0.53597850,0.16214423,0.51749903,0.44040728,0.69874221,0.21096732,0.99999988,0.58636802,0.09921819,0.50081962
q13,0.77141917,0.95074344,0.52037907,0.33966517,0.20563951,0.69221586,0.88878596,0.49899977,0.88145453,0.62701857,0.57003194,0.64879501,0.58636802,0.99999988,0.34778473,0.55267942
q14,0.54174107,0.22594948,0.36656588,0.10120721,0.29956207,0.61602581,0.50173253,0.57670033,0.20602253,0.00354121,0.07339568,0.85463428,0.09921819,0.34778473,1.00000012,0.28829962
q15,0.27288431,0.61174196,0.57745183,0.89993101,0.78788668,0.30176848,0.38620675,0.69774568,0.72691834,0.75978124,0.81129122,0.35411030,0.50081962,0.55267942,0.28829962,0.99999970
