query_id,topk_channel_indices,topk_channel_names,topk_attention_weights,attention_entropy,max_attention_weight
q0,250 259 25 253 258,250 | 259 | 25 | 253 | 258,0.99030763 0.00387253 0.00253388 0.00166614 0.00077541,0.06986155,0.99030763
q1,320 101 0 1 102,OT | 101 | 0 | 1 | 102,0.24301407 0.20183055 0.12736088 0.11810863 0.08679479,2.24419498,0.24301407
q2,241 169 157 219 43,241 | 169 | 157 | 219 | 43,0.57620388 0.23787086 0.09298959 0.02998110 0.02846774,1.25952840,0.57620388
q3,238 209 312 239 302,238 | 209 | 312 | 239 | 302,0.60690069 0.15903518 0.05507864 0.05077394 0.03609953,1.45424819,0.60690069
q4,239 229 226 214 312,239 | 229 | 226 | 214 | 312,0.81745136 0.06553987 0.02144018 0.02023893 0.01621599,0.85496193,0.81745136
q5,252 251 253 25 258,252 | 251 | 253 | 25 | 258,0.36518008 0.32724696 0.18567929 0.05781129 0.02564249,1.47932005,0.36518008
q6,250 5 310 4 259,250 | 5 | 310 | 4 | 259,0.50142443 0.18152693 0.16114347 0.09490471 0.01071185,1.49480128,0.50142443
q7,219 226 291 43 169,219 | 226 | 291 | 43 | 169,0.59341788 0.29635075 0.04316656 0.02934264 0.02242559,1.07773352,0.59341788
q8,112 100 180 86 0,112 | 100 | 180 | 86 | 0,0.14764012 0.12430158 0.08695222 0.07312361 0.05572289,3.14047980,0.14764012
q9,90 85 80 82 89,90 | 85 | 80 | 82 | 89,0.17206228 0.14422545 0.11987539 0.07087532 0.07048058,2.77313805,0.17206228
q10,59 88 85 80 58,59 | 88 | 85 | 80 | 58,0.26181096 0.22164075 0.16438453 0.08071943 0.02712246,2.40029836,0.26181096
q11,245 251 249 252 253,245 | 251 | 249 | 252 | 253,0.36838898 0.27907509 0.24237967 0.07114617 0.02564731,1.42866492,0.36838898
q12,53 317 127 71 132,53 | 317 | 127 | 71 | 132,0.06433325 0.04476524 0.03861081 0.03108375 0.02355797,4.90124226,0.06433325
q13,2 310 4 3 1,2 | 310 | 4 | 3 | 1,0.67665440 0.12253038 0.05768977 0.05283991 0.03139279,1.23854685,0.67665440
q14,245 248 294 241 223,245 | 248 | 294 | 241 | 223,0.79761451 0.08585381 0.08261526 0.01215282 0.01028426,0.76582813,0.79761451
q15,212 238 209 48 94,212 | 238 | 209 | 48 | 94,0.29534316 0.14857325 0.09895398 0.09310953 0.08801705,2.33297586,0.29534316
