id,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
q0,0.99999994,0.94806534,0.98395389,0.43086514,0.99219161,0.82743847,0.68141341,0.39866900,0.81791908,0.99675339,0.87169170,0.98796785,0.82005173,0.36323032,0.81847292,0.66676962
q1,0.94806534,1.00000012,0.94618368,0.69249326,0.94840008,0.95534730,0.86681265,0.66685152,0.94584697,0.96050197,0.97315580,0.89210874,0.95319891,0.63760483,0.95285660,0.86431533
q2,0.98395389,0.94618368,1.00000012,0.46309295,0.99823666,0.82050556,0.71689236,0.42479971,0.85855103,0.97955680,0.86170274,0.97592312,0.81486255,0.38881928,0.85114831,0.70314020
q3,0.43086514,0.69249326,0.46309295,1.00000012,0.44913632,0.84538388,0.93453622,0.99707699,0.84068060,0.47504348,0.79505080,0.30071983,0.85443646,0.99432361,0.85598665,0.95359677
q4,0.99219161,0.94840008,0.99823666,0.44913632,1.00000000,0.82128751,0.70285463,0.41295028,0.84525418,0.98745811,0.86408126,0.98344952,0.81519365,0.37694165,0.84031498,0.68933666
q5,0.82743847,0.95534730,0.82050556,0.84538388,0.82128751,1.00000000,0.93415743,0.83143359,0.94866192,0.85970771,0.99564242,0.73803532,0.99962389,0.81059402,0.96789569,0.94240600
q6,0.68141341,0.86681265,0.71689236,0.93453622,0.70285463,0.93415743,0.99999994,0.91127670,0.96751940,0.71031946,0.91079593,0.58017761,0.93934196,0.89571291,0.96526581,0.99255681
q7,0.39866900,0.66685152,0.42479971,0.99707699,0.41295028,0.83143359,0.91127670,1.00000012,0.81148911,0.44523057,0.77875638,0.26426983,0.84066457,0.99920672,0.83061141,0.93517977
q8,0.81791908,0.94584697,0.85855103,0.84068060,0.84525418,0.94866192,0.96751940,0.81148911,1.00000000,0.83613151,0.94384271,0.74221390,0.95114148,0.78813553,0.99510443,0.96322656
q9,0.99675339,0.96050197,0.97955680,0.47504348,0.98745811,0.85970771,0.71031946,0.44523057,0.83613151,0.99999988,0.90039325,0.97784626,0.85250878,0.41077924,0.84162056,0.69976395
q10,0.87169170,0.97315580,0.86170274,0.79505080,0.86408126,0.99564242,0.91079593,0.77875638,0.94384271,0.90039325,1.00000012,0.79253197,0.99405509,0.75522983,0.96141136,0.91547662
q11,0.98796785,0.89210874,0.97592312,0.30071983,0.98344952,0.73803532,0.58017761,0.26426983,0.74221390,0.97784626,0.79253197,1.00000000,0.72893649,0.22670549,0.73880464,0.56191504
q12,0.82005173,0.95319891,0.81486255,0.85443646,0.81519365,0.99962389,0.93934196,0.84066457,0.95114148,0.85250878,0.99405509,0.72893649,0.99999988,0.82019317,0.97039098,0.94808656
q13,0.36323032,0.63760483,0.38881928,0.99432361,0.37694165,0.81059402,0.89571291,0.99920672,0.78813553,0.41077924,0.75522983,0.22670549,0.82019317,1.00000000,0.80789876,0.92066824
q14,0.81847292,0.95285660,0.85114831,0.85598665,0.84031498,0.96789569,0.96526581,0.83061141,0.99510443,0.84162056,0.96141136,0.73880464,0.97039098,0.80789876,1.00000000,0.97025251
q15,0.66676962,0.86431533,0.70314020,0.95359677,0.68933666,0.94240600,0.99255681,0.93517977,0.96322656,0.69976395,0.91547662,0.56191504,0.94808656,0.92066824,0.97025251,0.99999994
