query_id,topk_channel_indices,topk_channel_names,topk_attention_weights,attention_entropy,max_attention_weight
q0,245 298 106 81 113,245 | 298 | 106 | 81 | 113,0.12802890 0.08228598 0.07714883 0.07174686 0.03756700,4.13334894,0.12802890
q1,245 106 81 11 109,245 | 106 | 81 | 11 | 109,0.03578915 0.02446576 0.02120115 0.01778319 0.01746446,5.36840868,0.03578915
q2,116 79 65 298 111,116 | 79 | 65 | 298 | 111,0.15434511 0.14555493 0.07764723 0.07658325 0.05077190,3.42163658,0.15434511
q3,57 32 131 117 1,57 | 32 | 131 | 117 | 1,0.34386915 0.16818042 0.12076566 0.04114826 0.01666008,3.01725221,0.34386915
q4,116 298 128 111 4,116 | 298 | 128 | 111 | 4,0.09413598 0.07969772 0.06322245 0.03770845 0.03640075,4.46763182,0.09413598
q5,106 180 6 83 91,106 | 180 | 6 | 83 | 91,0.48289222 0.15079615 0.10631650 0.05585023 0.03029859,1.99390721,0.48289222
q6,131 65 261 235 250,131 | 65 | 261 | 235 | 250,0.32870305 0.12582263 0.10027911 0.04563093 0.04328572,2.75916052,0.32870305
q7,57 32 122 81 216,57 | 32 | 122 | 81 | 216,0.61500233 0.08903312 0.04272834 0.02105697 0.01092925,2.21510482,0.61500233
q8,261 65 79 131 235,261 | 65 | 79 | 131 | 235,0.22238596 0.18780188 0.14373727 0.07112470 0.06635772,2.51462173,0.22238596
q9,106 83 81 298 245,106 | 83 | 81 | 298 | 245,0.26632947 0.13550104 0.09202190 0.08304413 0.06510972,2.78324103,0.26632947
q10,106 180 6 83 91,106 | 180 | 6 | 83 | 91,0.58200300 0.16462252 0.09821348 0.06518260 0.02969385,1.46829104,0.58200300
q11,298 245 128 105 113,298 | 245 | 128 | 105 | 113,0.21984045 0.15857455 0.06235574 0.05533052 0.04847831,3.38675761,0.21984045
q12,106 180 6 83 312,106 | 180 | 6 | 83 | 312,0.37490213 0.11941868 0.08735745 0.04742305 0.04193513,2.65659976,0.37490213
q13,57 32 81 122 216,57 | 32 | 81 | 122 | 216,0.70144916 0.08575012 0.04993913 0.03468464 0.01847197,1.52975392,0.70144916
q14,261 79 215 235 16,261 | 79 | 215 | 235 | 16,0.05075116 0.03610291 0.03268359 0.03124185 0.03104671,4.93359613,0.05075116
q15,131 32 117 261 65,131 | 32 | 117 | 261 | 65,0.14017989 0.08714609 0.04599861 0.04375817 0.02823502,4.35723305,0.14017989
