query_id,topk_channel_indices,topk_channel_names,topk_attention_weights,attention_entropy,max_attention_weight
q0,239 182 240 235 234,239 | 182 | 240 | 235 | 234,0.05768709 0.05355881 0.04626673 0.04467870 0.04297433,4.00948429,0.05768709
q1,141 135 102 112 82,141 | 135 | 102 | 112 | 82,0.47704905 0.27882534 0.04361202 0.02592311 0.02190317,1.82071924,0.47704905
q2,146 245 178 298 184,146 | 245 | 178 | 298 | 184,0.59053421 0.14299837 0.04938080 0.02585981 0.01987919,1.81397831,0.59053421
q3,165 219 185 169 166,165 | 219 | 185 | 169 | 166,0.14498033 0.11262815 0.09752312 0.09377806 0.06423911,3.12706685,0.14498033
q4,147 128 62 66 63,147 | 128 | 62 | 66 | 63,0.34876007 0.21134798 0.06748588 0.06651948 0.05344953,2.27339387,0.34876007
q5,319 251 35 297 278,319 | 251 | 35 | 297 | 278,0.27561805 0.21018614 0.19171219 0.15239108 0.09878122,1.84486413,0.27561805
q6,160 170 65 120 145,160 | 170 | 65 | 120 | 145,0.71793127 0.16186038 0.01880538 0.01709317 0.01285470,1.13389230,0.71793127
q7,74 49 39 28 317,74 | 49 | 39 | 28 | 317,0.13214524 0.09989244 0.09302607 0.07367244 0.05831940,3.28356361,0.13214524
q8,116 118 65 12 138,116 | 118 | 65 | 12 | 138,0.51931852 0.16937625 0.10274803 0.04010731 0.03764442,1.81129634,0.51931852
q9,222 243 259 282 289,222 | 243 | 259 | 282 | 289,0.49321270 0.13120589 0.12088554 0.02608914 0.02298638,2.09810162,0.49321270
q10,283 296 282 278 279,283 | 296 | 282 | 278 | 279,0.48139796 0.40138939 0.02487816 0.01028818 0.00965253,1.29448175,0.48139796
q11,119 59 10 101 57,119 | 59 | 10 | 101 | 57,0.18555884 0.14654872 0.13800269 0.07503277 0.05701490,2.79821157,0.18555884
q12,299 300 99 30 203,299 | 300 | 99 | 30 | 203,0.35653839 0.20164093 0.18094081 0.09979533 0.05536555,1.94013047,0.35653839
q13,311 310 97 29 305,311 | 310 | 97 | 29 | 305,0.42219868 0.25966322 0.08481999 0.06411581 0.04147631,1.82704341,0.42219868
q14,298 24 52 270 273,298 | 24 | 52 | 270 | 273,0.70205039 0.13072608 0.06533348 0.01641994 0.01323445,1.25449538,0.70205039
q15,122 105 115 130 151,122 | 105 | 115 | 130 | 151,0.34636113 0.10562599 0.10196467 0.09268351 0.06467732,2.37050295,0.34636113
