query_id,topk_channel_indices,topk_channel_names,topk_attention_weights,attention_entropy,max_attention_weight
q0,57 104 119 103 91,57 | 104 | 119 | 103 | 91,0.23669796 0.21063773 0.14439379 0.06038099 0.04348845,2.66765213,0.23669796
q1,256 238 273 266 241,256 | 238 | 273 | 266 | 241,0.10383718 0.07736667 0.06693080 0.05311530 0.04656401,3.72592306,0.10383718
q2,130 129 120 142 89,130 | 129 | 120 | 142 | 89,0.27949795 0.14738657 0.07028046 0.06035751 0.04477557,2.89549184,0.27949795
q3,9 4 125 109 93,9 | 4 | 125 | 109 | 93,0.18805064 0.11906688 0.07026106 0.06457554 0.05464203,3.23949552,0.18805064
q4,119 89 130 120 199,119 | 89 | 130 | 120 | 199,0.12858981 0.11821742 0.04962371 0.04602676 0.04272065,3.61271524,0.12858981
q5,294 282 318 281 53,294 | 282 | 318 | 281 | 53,0.26043078 0.15090658 0.11055462 0.09773036 0.09431447,2.36907148,0.26043078
q6,298 52 312 308 56,298 | 52 | 312 | 308 | 56,0.43565640 0.10293789 0.06673360 0.05802507 0.04931808,2.41166282,0.43565640
q7,68 65 128 197 143,68 | 65 | 128 | 197 | 143,0.59115010 0.11990736 0.10971247 0.07391299 0.03247816,1.47738111,0.59115010
q8,182 283 278 246 27,182 | 283 | 278 | 246 | 27,0.37577856 0.20026927 0.06490135 0.03337278 0.02581406,2.44489145,0.37577856
q9,43 315 317 41 39,43 | 315 | 317 | 41 | 39,0.23232400 0.22934000 0.16304076 0.14766902 0.02980801,2.28889585,0.23232400
q10,128 68 65 212 179,128 | 68 | 65 | 212 | 179,0.32140878 0.19525042 0.14774050 0.05031273 0.03386658,2.46521068,0.32140878
q11,318 39 41 310 43,318 | 39 | 41 | 310 | 43,0.27610436 0.20221765 0.09912696 0.04734859 0.04598560,2.59841681,0.27610436
q12,298 38 60 0 306,298 | 38 | 60 | 0 | 306,0.44195288 0.06991342 0.05803654 0.04615830 0.02900068,2.65183640,0.44195288
q13,208 209 206 186 65,208 | 209 | 206 | 186 | 65,0.15253010 0.07089782 0.06452224 0.06224651 0.03740801,3.71159816,0.15253010
q14,128 68 79 65 129,128 | 68 | 79 | 65 | 129,0.31937394 0.15476498 0.09520062 0.05075734 0.05029838,2.65550900,0.31937394
q15,294 263 288 271 240,294 | 263 | 288 | 271 | 240,0.42013779 0.16745922 0.04006805 0.03229662 0.03220516,2.35569072,0.42013779
