id,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
q0,1.00000000,0.65011030,0.58251870,0.34005952,0.25783831,0.79537469,0.56842315,0.70864254,0.44104135,0.89879358,0.72717905,0.28995770,0.36680660,0.62238568,0.85869509,0.15354908
q1,0.65011030,1.00000012,0.65104949,0.46954873,0.74449533,0.51472145,0.66614115,0.34784153,0.48731774,0.84175271,0.54724926,0.45975468,0.38758817,0.39377019,0.30783206,0.57088685
q2,0.58251870,0.65104949,0.99999976,0.55256855,0.67574525,0.58123738,0.39883643,0.83577305,0.92587370,0.76373577,0.30089772,0.58150184,0.36570588,0.51994497,0.60696650,0.61168069
q3,0.34005952,0.46954873,0.55256855,0.99999994,0.73134512,0.63846749,0.73850667,0.36728603,0.63172501,0.35719147,0.22415866,0.82263941,0.76339698,0.72961503,0.31697822,0.81987691
q4,0.25783831,0.74449533,0.67574525,0.73134512,1.00000012,0.37650716,0.56860316,0.25134128,0.66639292,0.48816562,0.20274766,0.69170034,0.58672839,0.43778148,0.05494473,0.95573771
q5,0.79537469,0.51472145,0.58123738,0.63846749,0.37650716,1.00000000,0.82396311,0.70366275,0.53656924,0.72616512,0.70950222,0.67498720,0.72906733,0.94566423,0.82505596,0.36678779
q6,0.56842315,0.66614115,0.39883643,0.73850667,0.56860316,0.82396311,0.99999994,0.30335504,0.39339808,0.59770530,0.62263459,0.69246614,0.74451125,0.79888159,0.41537398,0.52763176
q7,0.70864254,0.34784153,0.83577305,0.36728603,0.25134128,0.70366275,0.30335504,1.00000000,0.75278825,0.71466750,0.38494495,0.43919960,0.28495872,0.60796410,0.89627028,0.23071967
q8,0.44104135,0.48731774,0.92587370,0.63172501,0.66639292,0.53656924,0.39339808,0.75278825,1.00000024,0.59367597,0.18951847,0.55449671,0.39119476,0.52365661,0.51698720,0.65200669
q9,0.89879358,0.84175271,0.76373577,0.35719147,0.48816562,0.72616512,0.59770530,0.71466750,0.59367597,1.00000012,0.69671017,0.35894531,0.32652265,0.54326385,0.72997177,0.33426279
q10,0.72717905,0.54724926,0.30089772,0.22415866,0.20274766,0.70950222,0.62263459,0.38494495,0.18951847,0.69671017,0.99999988,0.26561728,0.28594586,0.51404464,0.61157042,0.11892913
q11,0.28995770,0.45975468,0.58150184,0.82263941,0.69170034,0.67498720,0.69246614,0.43919960,0.55449671,0.35894531,0.26561728,0.99999982,0.80874383,0.77910417,0.33882973,0.72506338
q12,0.36680660,0.38758817,0.36570588,0.76339698,0.58672839,0.72906733,0.74451125,0.28495872,0.39119476,0.32652265,0.28594586,0.80874383,0.99999994,0.88716352,0.32965237,0.64776498
q13,0.62238568,0.39377019,0.51994497,0.72961503,0.43778148,0.94566423,0.79888159,0.60796410,0.52365661,0.54326385,0.51404464,0.77910417,0.88716352,0.99999994,0.69306451,0.48417392
q14,0.85869509,0.30783206,0.60696650,0.31697822,0.05494473,0.82505596,0.41537398,0.89627028,0.51698720,0.72997177,0.61157042,0.33882973,0.32965237,0.69306451,1.00000012,0.04039175
q15,0.15354908,0.57088685,0.61168069,0.81987691,0.95573771,0.36678779,0.52763176,0.23071967,0.65200669,0.33426279,0.11892913,0.72506338,0.64776498,0.48417392,0.04039175,1.00000012
