query_id,topk_channel_indices,topk_channel_names,topk_attention_weights,attention_entropy,max_attention_weight
q0,245 212 219 239 211,245 | 212 | 219 | 239 | 211,0.26161987 0.19389872 0.14832209 0.11403964 0.05445126,2.41785955,0.26161987
q1,116 298 128 133 81,116 | 298 | 128 | 133 | 81,0.25448385 0.15109009 0.06986298 0.03867703 0.03816297,3.17523861,0.25448385
q2,88 91 172 118 191,88 | 91 | 172 | 118 | 191,0.14680634 0.07880341 0.07318191 0.07131863 0.06067254,3.41732454,0.14680634
q3,49 259 29 284 27,49 | 259 | 29 | 284 | 27,0.95545703 0.02148224 0.01872441 0.00256164 0.00166246,0.22762936,0.95545703
q4,79 68 89 67 118,79 | 68 | 89 | 67 | 118,0.35462818 0.14429401 0.11895543 0.07151975 0.06412305,2.24979711,0.35462818
q5,294 45 276 263 311,294 | 45 | 276 | 263 | 311,0.42801923 0.09903468 0.07527626 0.07106375 0.06472850,2.09455299,0.42801923
q6,319 318 297 39 36,319 | 318 | 297 | 39 | 36,0.18432806 0.14447495 0.12110315 0.08295989 0.06308705,2.89842987,0.18432806
q7,122 226 238 104 15,122 | 226 | 238 | 104 | 15,0.09997927 0.04794521 0.02921283 0.02866094 0.02673883,4.58779716,0.09997927
q8,88 77 89 79 68,88 | 77 | 89 | 79 | 68,0.77495259 0.09598245 0.02034317 0.01993125 0.01731245,0.98332608,0.77495259
q9,111 146 229 213 181,111 | 146 | 229 | 213 | 181,0.25121838 0.07501909 0.06963519 0.06838311 0.06453975,3.08925867,0.25121838
q10,312 41 276 307 311,312 | 41 | 276 | 307 | 311,0.62786329 0.25513670 0.03045524 0.02627827 0.01554191,1.16443145,0.62786329
q11,29 49 27 297 259,29 | 49 | 27 | 297 | 259,0.64488220 0.22900292 0.08726446 0.03531399 0.00118362,0.97611880,0.64488220
q12,297 278 39 35 29,297 | 278 | 39 | 35 | 29,0.99421471 0.00187967 0.00140309 0.00139612 0.00045794,0.04533184,0.99421471
q13,297 294 39 278 263,297 | 294 | 39 | 278 | 263,0.31590372 0.27265900 0.16830054 0.14120384 0.05282562,1.70278299,0.31590372
q14,241 302 239 41 223,241 | 302 | 239 | 41 | 223,0.21662939 0.19772507 0.10508589 0.06946872 0.04940206,2.72319555,0.21662939
q15,79 49 67 68 70,79 | 49 | 67 | 68 | 70,0.59725285 0.22728249 0.04677047 0.03891642 0.02269060,1.31149662,0.59725285
