mode,dataset,accuracy,f1_macro
classification_electricity_laya_ci,ECG200,0.740,0.701
classification_electricity_laya_ci,ECG5000,0.912,0.389
classification_electricity_laya_ci,EthanolConcentration,0.274,0.228
classification_electricity_laya_ci,FaceDetection,0.536,0.527
classification_electricity_laya_ci,FordA,0.765,0.765
classification_electricity_laya_ci,FordB,0.614,0.594
classification_electricity_laya_ci,Handwriting,0.047,0.009
classification_electricity_laya_ci,Heartbeat,0.732,0.470
classification_electricity_laya_ci,JapaneseVowels,0.392,0.355
classification_electricity_laya_ci,PEMS-SF,0.607,0.577
classification_electricity_laya_ci,SelfRegulationSCP1,0.775,0.767
classification_electricity_laya_ci,SelfRegulationSCP2,0.556,0.556
classification_electricity_laya_ci,SpokenArabicDigits,0.284,0.246
classification_electricity_laya_ci,UWaveGestureLibrary,0.338,0.256
classification_electricity_laya_description_suppression_stats,ECG200,0.700,0.548
classification_electricity_laya_description_suppression_stats,ECG5000,0.882,0.364
classification_electricity_laya_description_suppression_stats,EthanolConcentration,0.297,0.260
classification_electricity_laya_description_suppression_stats,FaceDetection,0.524,0.502
classification_electricity_laya_description_suppression_stats,FordA,0.711,0.710
classification_electricity_laya_description_suppression_stats,FordB,0.580,0.554
classification_electricity_laya_description_suppression_stats,Handwriting,0.115,0.079
classification_electricity_laya_description_suppression_stats,Heartbeat,0.751,0.634
classification_electricity_laya_description_suppression_stats,JapaneseVowels,0.389,0.409
classification_electricity_laya_description_suppression_stats,PEMS-SF,0.387,0.378
classification_electricity_laya_description_suppression_stats,SelfRegulationSCP1,0.730,0.714
classification_electricity_laya_description_suppression_stats,SelfRegulationSCP2,0.550,0.541
classification_electricity_laya_description_suppression_stats,SpokenArabicDigits,0.277,0.270
classification_electricity_laya_description_suppression_stats,UWaveGestureLibrary,0.391,0.394
classification_electricity_laya_description_suppression_text,ECG200,0.700,0.548
classification_electricity_laya_description_suppression_text,ECG5000,0.882,0.364
classification_electricity_laya_description_suppression_text,EthanolConcentration,0.297,0.260
classification_electricity_laya_description_suppression_text,FaceDetection,0.524,0.502
classification_electricity_laya_description_suppression_text,FordA,0.711,0.710
classification_electricity_laya_description_suppression_text,FordB,0.580,0.554
classification_electricity_laya_description_suppression_text,Handwriting,0.115,0.079
classification_electricity_laya_description_suppression_text,Heartbeat,0.751,0.634
classification_electricity_laya_description_suppression_text,JapaneseVowels,0.389,0.409
classification_electricity_laya_description_suppression_text,PEMS-SF,0.387,0.378
classification_electricity_laya_description_suppression_text,SelfRegulationSCP1,0.730,0.714
classification_electricity_laya_description_suppression_text,SelfRegulationSCP2,0.550,0.541
classification_electricity_laya_description_suppression_text,SpokenArabicDigits,0.277,0.270
classification_electricity_laya_description_suppression_text,UWaveGestureLibrary,0.391,0.394
classification_electricity_laya_description_suppression_text_stats_avg,ECG200,0.660,0.469
classification_electricity_laya_description_suppression_text_stats_avg,ECG5000,0.888,0.364
classification_electricity_laya_description_suppression_text_stats_avg,EthanolConcentration,0.297,0.246
classification_electricity_laya_description_suppression_text_stats_avg,FaceDetection,0.530,0.521
classification_electricity_laya_description_suppression_text_stats_avg,FordA,0.692,0.692
classification_electricity_laya_description_suppression_text_stats_avg,FordB,0.591,0.567
